,Ano/Mês,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
28,Atual,BZLI11,Títulos e Val. Mob.,14.7,0.20176479481740425,0.0,0.0,0.0,0.0,0.0,0.0,0.6613651424784626,0.6209856915739268,0.7449818390365129,0.11355103945143885,0.0012658298125128387,0.9591836734693876,0.06617647058823531,0.0
29,Atual,CBOP11,Lajes Corporativas,72.5,0.00295048770095616,0.06853146853146852,0.41463414634146345,0.2933333333333333,0.4310344827586207,0.4444444444444445,0.4084158415841584,0.5062955599734924,0.492845786963434,0.7734658765054483,0.0325848018828916,0.023279054402922512,0.4693877551020408,0.12708333333333333,0.015625
30,Atual,CEOC11,Lajes Corporativas,68.53,0.008448290870439686,0.061538461538461535,0.3780487804878049,0.28444444444444444,0.36781609195402293,0.3986928104575163,0.3155940594059406,0.607687210072896,0.5888712241653419,0.7396291340087937,0.040085148804765,0.022127038235832976,0.4591836734693878,0.0,0.015625
31,Atual,CNES11,Lajes Corporativas,42.61,0.0008475779886287103,0.009790209790209793,0.10365853658536586,0.08444444444444445,0.16091954022988508,0.21568627450980396,0.11014851485148516,0.6577203445990722,0.6228934817170111,0.367042630472185,0.06959992694081478,0.023567752430337718,0.12244897959183673,0.6678921568627452,0.015625
32,Atual,CPFF11,Híbrido,83.03,0.12362726727111957,0.11468531468531468,0.6036585365853658,0.4222222222222222,0.5517241379310345,0.4444444444444445,0.4702970297029703,0.630881378396289,0.6232114467408585,0.7474670235136686,0.08536709496105155,0.021233184727874343,0.6734693877551021,0.06617647058823531,0.0
33,Atual,CPTS11,Títulos e Val. Mob.,99.6,0.5225936802752567,0.14685314685314685,0.6341463414634146,0.4533333333333334,0.5862068965517242,0.5816993464052288,0.504950495049505,0.5622929092113984,0.5580286168521462,0.7621869623398967,0.4542147909907898,0.02450879696200845,0.7244897959183674,0.06617647058823531,0.0
34,Atual,CRFF11,Títulos e Val. Mob.,73.68,0.002955069203597396,0.06433566433566433,0.38414634146341453,0.28,0.3390804597701149,0.3594771241830065,0.37376237623762376,0.4476474486414845,0.4346581875993641,0.5666220607914356,0.01589104417819922,0.023931400907178033,0.4591836734693878,0.06617647058823531,0.0
35,Atual,CVBI11,Títulos e Val. Mob.,104.81,0.10422460358548397,0.13986013986013984,0.573170731707317,0.4266666666666665,0.7011494252873564,0.6405228758169934,0.4975247524752474,0.6418157720344599,0.6324324324324324,0.7635251385968266,0.15425839797964944,0.02586900882194549,0.7244897959183674,0.06617647058823531,0.0
36,Atual,CXCE11B,Outros,82.0,0.0018829975855481078,0.12727272727272726,0.6646341463414634,0.4755555555555556,0.5747126436781609,0.5947712418300654,0.6336633663366337,0.30384360503644803,0.3090620031796502,0.4517300707321735,0.035303445481795134,0.020591941993904028,0.6836734693877551,0.0,0.015625
37,Atual,CXCO11,Lajes Corporativas,102.4,0.01640636095826709,0.10069930069930068,0.4268292682926829,0.0,0.0,0.0,0.15717821782178218,0.6119946984758119,0.5955484896661367,0.7935385203593959,0.10141466766342204,0.02588566447737329,0.6938775510204082,0.06617647058823531,0.0
