,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
20,FIXX11,Títulos e Val. Mob.,8150.0,479.0,0.02610295877037662,0.6749677181331857,0.6071857595282298,0.6473920226575407,0.7270267090245911,0.6001088756322727,0.6200995889977868,0.6142449841139739,0.40256413583691264,0.0017732583846962779,95.72,0.37199081010888024,0.1377952755905512,0.0
21,VRTA11,Títulos e Val. Mob.,10496.0,4059.0,0.03219364915013117,0.6438848920863309,0.7421644643442176,0.7633939107859334,0.7924461701376633,0.7372921722956882,0.7853523377946393,0.779825407946979,0.6445817058770097,0.08419391149168623,102.8748,0.5407052242533213,0.1377952755905512,0.0
22,BRCR11,Híbrido,9086.0,28410.0,0.01164627010471637,0.2410071942446043,0.3205198209020422,0.44158602784989376,0.4681727262030827,0.1997187379499626,0.6415674289528225,0.616078156604048,0.6268948782165241,1.0,125.0453,0.24732793926680652,0.6338582677165355,0.2682926829268293
24,PQDP11,Shoppings,2.98,31.0,0.5662645360851652,0.40140195535878986,0.4474172764005679,0.4851309889072457,0.5164136957289093,0.3584730192573775,0.3189965574173604,0.29829153611922676,0.4723667648547292,0.2553014401037139,2669.7856,0.6364998501648187,0.03937007874015748,0.024390243902439025
25,PRSV11,Lajes Corporativas,36500.0,78.0,0.031758599837291554,0.17718133185759083,0.20301408758326964,0.20108567382582015,0.31850805977173785,0.14995350103205027,0.5840534654160958,0.5553234712178698,0.5245526387501135,0.020307759107269764,405.207,0.4213365298172011,0.1377952755905512,0.04878048780487805
26,WPLZ11B,Shoppings,7001.0,243.0,0.005546878738705032,0.1679579413392363,0.16380910778639293,0.17441586027849892,0.14378162136721967,0.1020482228321274,0.6735474408964766,0.6448801166884796,0.48111804627382787,0.021487777271125878,82.6973,0.367196084307262,0.17716535433070868,0.024390243902439025
27,TBOF11,Lajes Corporativas,7709.0,10065.0,0.0077786817135722325,0.19987087253274302,0.22103308943977285,0.2413264101958933,0.2860336510177668,0.18889922199287773,0.5307944286366669,0.502782808719908,0.6949950040875646,0.3235507394346152,79.4673,0.49056038357806414,0.6318897637795277,0.024390243902439025
28,VLOL11,Lajes Corporativas,8535.0,2147.0,0.01379976420327244,0.3180225050728648,0.441738560663973,0.45315081425536935,0.5102953288622191,0.42701930274230504,0.8971396704956616,0.8769659232623419,0.7816254233549174,0.04287435627518442,74.2752,0.6693636999300769,0.22106299212598426,0.024390243902439025
29,AGCX11,Outros,1.14499,289.0,0.3154107518087175,0.5784910533111971,0.651086600414983,0.707576115175832,0.7166725497117308,0.6631886950801824,0.5268995679207503,0.5157295894310556,0.5048181358109598,0.1691104233779707,1067.0154,0.5934472080711217,0.1377952755905512,1.0
30,BBVJ11,Lajes Corporativas,5000.0,2410.0,0.0,0.0,0.0,0.13087089922114703,0.23767502059065773,0.0,0.4315171953490005,0.3942422519818974,0.28390537612083616,0.055264420657519187,59.7681,0.35720707222055736,0.9702755905511812,0.024390243902439025
31,BMLC11B,Lajes Corporativas,8007.0,596.0,0.013121087275242648,0.33314886552296624,0.4124713334061374,0.5893320745810715,0.6308977526767855,0.36130832218114184,0.9868663715881547,0.9680737146860913,0.6898848993680495,0.022514647398329344,84.3872,0.46928378783338326,0.37401574803149606,0.04878048780487805
32,BPFF11,Títulos e Val. Mob.,10100.0,2082.0,0.029148303960253894,0.6011805939863494,0.6931309380801574,0.7736606089214065,0.8011530768325685,0.7245900151972238,0.6718041943302772,0.6631060816378691,0.8013080207103278,0.07010134865112529,98.5906,0.5448007192088702,0.1377952755905512,0.0
33,CXCE11B,Outros,2.185,12.0,0.7859165836447561,0.7625899280575539,0.8213388664409741,0.8725513334906773,0.8789269325803035,0.8381155442647493,0.34940896476622046,0.3443323682737772,0.489565680028029,0.053513022450150514,2303.2675,0.46918389771251623,0.1377952755905512,0.024390243902439025
34,CXTL11,Logística,56001.0,39.0,0.044775275277452696,0.1679579413392363,0.23675876378726657,0.2222091102194949,0.3501588422167314,0.21233016535486654,0.8255216566550743,0.7976768064020023,0.6666441742470446,0.008869421573432576,967.7943,0.09949056038357806,0.1377952755905512,0.0975609756097561
35,CTXT11,Lajes Corporativas,409.0,11062.0,0.0011920351171805323,0.6149234458586976,0.7151905645953915,0.6837384942176068,0.7785621837863278,0.6070270147662578,0.5916543717286682,0.5827681785933045,0.5128115957074082,0.03959103558622389,3.4355,0.710718209969034,0.10826771653543307,0.024390243902439025
36,FLMA11,Híbrido,245.0,12394.0,0.0006090690379754545,0.4947426674045379,0.482472425466856,0.5081425536936511,0.5499470525944229,0.3950370857622429,0.7256823690589104,0.7125620788881104,0.7602247511776079,0.06434778965798855,2.6585,0.4421136749575467,0.1377952755905512,0.024390243902439025
38,EURO11,Logística,18100.0,257.0,0.05220591754075324,0.6361372440509131,0.6420224964508027,0.6686334670757611,0.6058359807036122,0.6257173316397124,0.4023606280956897,0.39245314613821947,0.39921882096466527,0.037240022385422955,310.4621,0.1038857257017281,0.23385826771653545,0.14634146341463414
40,ABCP11,Shoppings,1543.0,22912.0,0.0036979191591366882,0.5064563733628482,0.5583706454078847,0.6324050035402408,0.5935992469702317,0.6165082677433258,0.6552631116731654,0.6420466313252162,0.5108054448957347,0.31798001256121544,12.8718,0.7189091998801318,0.03740157480314961,0.024390243902439025
41,GWIR11,Híbrido,22000.0,140.0,0.05655641066914935,0.5603209739900388,0.5995413344981981,0.7469907953740854,0.6930227085539475,0.5076099530473835,0.6566111638037025,0.645880429561669,0.4251404694860049,0.02061156485060861,208.7246,0.574368194985516,0.1377952755905512,0.04878048780487805
42,FIIB11,Híbrido,40051.0,1164.0,0.10745718027138376,0.5583840619811843,0.65894943758873,0.6988435213594524,0.7156136016001883,0.540227277882369,0.8029384901816138,0.7935301349761379,0.6600625462284104,0.09940799196162987,389.3859,0.5489961042852862,0.09350393700787402,0.024390243902439025
