,Ativo,Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
28,PRSV11,0.09896902552269783,0.35385214765754364,0.3599715678310317,0.39330808080808083,0.4480843975569128,0.5322263444152289,0.5523246058784479,0.34666294476217674,0.045626550611752296,646.8704,0.3143316316884099,0.20943396226415092,0.07142857142857142
29,WPLZ11B,0.0064018821080967965,0.1351904158955878,0.18095044679122663,0.30839646464646464,0.25707940033314824,0.53858732845874,0.5426949816526478,0.5578161076236289,0.022675022174914995,79.4155,0.5812062771790508,0.1830188679245283,0.03571428571428571
30,TBOF11,0.014771833980873526,0.34995617025421255,0.3804833468724614,0.39225589225589225,0.34129187488432355,0.8085869682671182,0.8329114293426323,0.6829175403404677,0.29296197340111135,63.5606,0.6914350538854226,0.8603773584905661,0.03571428571428571
31,VLOL11,0.019663731528138308,0.41336320249342556,0.49218115353371245,0.5753367003367003,0.5677401443642421,0.6491445448978856,0.6756056814782933,0.5921744794202485,0.055278527356282824,81.8819,0.5561542824730573,0.2743396226415094,0.03571428571428571
33,BBVJ11,0.010179671196620348,0.30203564819324047,0.32971161657189274,0.4089856902356902,0.4292059966685175,0.7231927385369017,0.7424950939982637,0.5177883231738324,0.08445464142233851,76.2426,0.3300245793155606,0.8264150943396226,0.0
34,BMLC11B,0.02605995826334809,0.5306321223336904,0.5389926888708367,0.5945917508417509,0.6042939107903017,0.5559917876310198,0.5895226770355348,0.3594624011910095,0.03491962520134398,104.1139,0.37823785214596334,0.4075471698113208,0.07142857142857142
35,BPFF11,0.03789099834297574,0.7117950715885848,0.741165718927701,0.8304924242424242,0.7544882472700352,0.6970140114540936,0.7467481780313254,0.6976342103611761,0.07509663606855625,93.6107,0.5362072225373417,0.20943396226415092,0.0
36,CXCE11B,1.0,0.7573780072075582,0.7954914703493094,0.8281776094276094,0.7429205996668518,0.4202355653207507,0.46771522574903157,0.34196728619065236,0.05943456240163479,2258.6643,0.5621100397050482,0.20943396226415092,0.0
37,CXTL11,0.2490343450795428,0.7017629297750073,0.7084687246141348,0.7955597643097643,0.7780862483805293,0.6580917047869467,0.7062964611130971,0.7272233510556576,0.010534690923940127,996.4348,0.1902060881073927,0.20943396226415092,0.0
38,CTXT11,0.0018945499171487872,0.7735463134313821,0.8340779853777417,0.8841540404040404,0.8034425319267073,0.787321254907611,0.8435769676896927,0.6783473878505784,0.04411690252758794,3.3869,0.7860654187937228,0.07169811320754717,0.03571428571428571
39,FLMA11,0.0006334017633452661,0.5008278951982079,0.5050771730300568,0.5707070707070707,0.5235980011104941,0.37063717897921694,0.398659147778256,0.33718290780279964,0.07328639718146716,2.6577,0.38504443183966724,0.20943396226415092,0.0
41,EURO11,0.01131074577402261,0.10090581474627447,0.31691714053614944,0.4588594276094276,0.48639644641865626,0.5120988365810611,0.5133173325940894,0.39119596476308555,0.043189052230043184,315.3848,0.18878805067120438,0.33226415094339623,0.21428571428571427
44,GWIR11,0.07351984753114696,0.49654232005454374,0.4831437855402112,0.5549242424242424,0.4691837867851194,0.6610596837517559,0.6939530336963896,0.44547734507031583,0.023335557963093286,209.2521,0.7623369256948384,0.20943396226415092,0.0
45,FIIB11,0.12950803911255887,0.6460504529073732,0.6570877335499594,0.7496843434343434,0.7339441051267814,0.39947412023196344,0.4384907752577019,0.3828389908445477,0.10018263238919844,349.2211,0.54490451881263,0.13150943396226414,0.03571428571428571
46,FMOF11,0.01357289492882713,0.2180773351514561,0.23172217709179527,0.21506734006734007,0.2844715898574866,0.5391564312214099,0.5493700620818955,0.3901659493344931,0.017383460993250586,133.071,0.3717148799394971,0.9411320754716982,0.03571428571428571
47,MBRF11,0.44055354789818063,0.7744229083471317,0.8110276198212835,0.857638888888889,0.7888210253562836,0.6984403702769874,0.7529198917396791,0.6341822305027384,0.047804685971042524,1285.1578,0.33106447343543205,0.3947169811320755,0.10714285714285714
49,FPAB11,0.10462439840970914,0.5972533359306516,0.5929122664500406,0.6102693602693602,0.5756986859152322,0.6547779418650723,0.6950910801958023,0.3884889284160916,0.11642902410051272,363.8531,0.3942144072603517,0.41245283018867923,0.03571428571428571
51,RNGO11,0.030539013589861046,0.5866367975065745,0.6153533712428919,0.707807239057239,0.7174717749398483,0.719691675971617,0.7604412118736186,0.5451443211743907,0.10591022345186474,93.8295,0.5135186235583286,0.2943396226415094,0.07142857142857142
52,SHPH11,0.19793805104539566,0.3787864030388624,0.3916531275385865,0.47117003367003363,0.424949102350546,0.6297806433022368,0.6533262327013284,0.6154536936656214,0.1556187249234768,612.2854,1.0,0.04339622641509434,0.03571428571428571
53,ONEF11,0.33932237322067826,0.5403720658420181,0.5649878147847278,0.6092171717171717,0.5102720710716269,0.5497028419118971,0.5838470348782072,0.759900374137957,0.031050002172582854,1052.9897,0.5812062771790508,0.0,0.03571428571428571
54,FIVN11,0.0,0.0,0.0,0.0,0.0,0.6610596837517559,0.6567622577091707,0.3400500725987765,0.06189703574633651,16.9839,0.0,0.20943396226415092,0.0
55,RBBV11,0.012837696453515662,0.3235609233466446,0.4646628757108042,0.51378367003367,0.5770868036276143,0.5437812916471563,0.5618302122164915,0.323234421557617,0.045371598211713264,100.1554,0.2554358101720552,0.20943396226415092,0.0
57,KNRE11,0.0,0.0,0.6777010560519903,0.4351851851851852,0.22644826947991856,0.24043511147930705,0.23080458428474512,0.2545003667807041,0.08742690042122114,1.1472,0.46379277746265835,0.20943396226415092,0.0
58,KNRI11,0.052029430560504006,0.6033895003408981,0.6214459788789601,0.6546717171717171,0.6032759578012216,0.5921190073118899,0.6317106443823544,0.4012818931510465,0.944026649372995,144.1057,0.5846095670259028,0.06245283018867925,0.5714285714285714
60,MXRF11,0.005655372887011305,1.0,1.0,0.9973695286195285,0.8944105126781418,0.6610596837517559,0.7316617667442387,0.599475471134683,0.14223361008269728,10.3667,0.49848742673473245,0.20943396226415092,0.0
63,PLRI11,0.02205595425934409,0.33310606798480574,0.6423639317627945,0.7851430976430976,0.8761799000555247,0.6294708785073659,0.6496129912385009,0.5777001659709735,0.038313148539345664,116.2957,0.5373416524862923,0.20943396226415092,0.0
67,FIIP11B,0.0716818513428683,0.6650433427486121,0.6980097481722177,0.9935816498316499,0.827318156579678,0.60176493894752,0.6461113097018464,0.5988717436040586,0.060567813664273204,169.4504,0.6459633200983173,0.20943396226415092,0.0
68,RBRD11,0.02808458175689814,0.6282263562871336,0.6712022745735174,0.7196969696969697,0.9625208217656858,0.9192450383604077,0.9669601756676904,0.776776614321975,0.05112247576704419,74.2694,0.5903762525997353,0.0,0.0
72,SAAG11,0.04863620682829722,0.6507256257913705,0.67678716490658,0.7240109427609428,0.6646307606885064,0.5906926484889962,0.6337678822851389,0.5427164276641371,0.23514153078972197,92.1496,0.9308943089430894,0.20943396226415092,1.0
73,SDIL11,0.03110455087856218,0.6346547190026298,0.6177904142973193,0.688867845117845,0.6851749028317601,0.5645355329035047,0.6059149237289991,0.3946863321713201,0.05202366197028486,96.8819,0.43401399130270374,0.2641509433962264,0.03571428571428571
74,SPTW11,0.03025624494551048,0.7303009642544074,0.7640129975629569,0.8570075757575757,0.9054229131963725,0.6574361560350106,0.7077627902565711,0.771894860525957,0.047995719422122274,72.8867,0.5358290792210247,0.20943396226415092,0.0
76,TRXL11,0.01538261425267075,0.43118729911366516,0.4220146222583266,0.6178451178451179,0.8607255228576717,0.5494218924467817,0.5755086557190485,0.3280296194352659,0.05683303809957021,90.5629,0.2516543770088864,1.0,0.21428571428571427
77,XPCM11,0.04411190851868818,0.8961722022012273,0.9362307067424858,0.962121212121212,0.8947806774014436,0.6746100925692469,0.7377386432443079,0.2929549974141419,0.07591520242984588,78.2409,0.6345244847797316,0.0,0.03571428571428571
78,KNIP11,0.03393223732206783,0.553326190708094,0.6848090982940699,0.7423190235690236,0.0,0.5680005763065951,0.6034345659738687,0.4291572266618195,0.1799787094517556,101.1518,0.5974664397806769,0.20943396226415092,0.0
79,FAED11,0.05150348088201195,0.4194019674685887,0.628655564581641,0.7488425925925926,0.712659633536924,0.11227172855959373,0.1300364028976415,0.496034656989715,0.037638393977743184,170.6453,0.7820003781433164,0.0,0.10714285714285714
80,CNES11,0.023441520616661857,0.4364468686081621,0.41531275385865146,0.4079335016835017,0.4072737368128817,0.6556640132550517,0.683958650977188,0.306879680781773,0.13037422300451187,102.329,0.46502174324068823,0.6566037735849056,0.03571428571428571
81,FLRP11,0.2565446802734938,0.41453199571442484,0.48283915515840775,0.8062920875420875,0.6973903387007219,0.6874473219752909,0.7146421354421237,1.0,0.013614029343963,1245.591,0.41926640196634524,0.05849056603773585,0.03571428571428571
83,EDGA11,0.005304739768016604,0.17239700009739944,0.2001421608448416,0.36037457912457915,0.45539515084212473,0.46804740121744776,0.47387234911764925,0.3115688476594197,0.13884308995465766,83.7729,0.2081678956324447,0.6566037735849056,0.03571428571428571
84,NSLU11,0.08878369895319048,0.7126716665043343,0.6458164094232332,0.7448442760942761,0.7066444567832685,0.45480675719482766,0.49974102146968497,0.5635114870523165,0.09075083039705192,191.8828,0.6674229532993005,0.0,0.03571428571428571
85,HTMX11,0.05979425753437052,0.8547774422908349,0.5635662063363119,0.43339646464646464,0.4443827503238941,0.23091164499513747,0.28136011147019563,0.420319867396333,0.06456313323594895,147.806,0.3808848553601815,0.660377358490566,0.0
86,MAXR11,0.436244153758278,0.42251874939125356,0.3703290008123477,0.8583754208754208,0.7240421987784564,0.6882109282138097,0.7160209225471815,0.5265975517658489,0.03222397244658354,1660.2349,0.6228020419739081,0.0,0.2857142857142857
87,JRDM11,0.027920575943174812,0.5730982760299991,0.657595450852965,0.773253367003367,0.7928928373126041,0.7180347945106798,0.7577274086827113,0.6937694886059952,0.0745766964049128,83.7331,0.5574777840801663,0.022641509433962263,0.0
89,TRNT11,0.01703963850856506,0.18642251874939125,0.2851340373679935,0.40140993265993263,0.38654451230797704,0.0,0.0,0.2942641556794748,0.3046641432150404,168.4738,0.4936660994516922,0.8169811320754716,0.03571428571428571
90,FVBI11,0.02266673453114131,0.4044024544657641,0.47024776604386676,0.5628156565656566,0.5731075328521191,0.5978532579332205,0.6227813564638853,0.5917070774610552,0.08460788492124693,96.2489,0.5584231423709586,0.3584905660377358,0.03571428571428571
91,FCFL11,0.6339333683966452,0.5902405766046557,0.6017465475223396,0.6345749158249158,0.575235980011105,0.3159528869358499,0.3493656849799748,0.547093993235655,0.10211019229444311,1456.357,0.8110228776706372,0.0,0.03571428571428571
92,THRA11,0.02180146247942858,0.3725528391935327,0.25761575954508525,0.1334175084175084,0.058671108643346286,0.8179879695998271,0.8441970571284753,0.8583750424664973,0.04995198755902655,91.7379,0.6487993949706939,0.0,0.03571428571428571
93,CEOC11,0.0,0.0,0.0,0.0,0.006570423838608181,1.0,1.0,0.6345262902782556,0.05123146593231201,75.87,0.5778975231612781,0.0,0.03571428571428571
