,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
21,VRTA11,10585.0,3128.0,0.02712030479723198,0.6074423480083858,0.5757547346709169,0.6968763748350199,0.6909143462761345,0.48791978738825803,0.11087049559188565,0.11336880187273889,0.1423701916459529,0.08151723774381156,104.5108,0.5030134445989801,0.09012195121951219,0.0
22,BRCR11,10475.0,68900.0,0.015309849482308374,0.3485324947589099,0.38318019876242265,0.46612406511218657,0.44214278832257436,0.13388902311347348,0.3999743216639562,0.38152798467759097,0.3476831647896104,1.0,124.8644,0.3686447226085613,0.4012195121951219,0.2682926829268293
24,PQDP11,3.17205,40.0,0.5059730284194549,0.3681341719077568,0.38674292143258954,0.4555653321601408,0.45977454475382984,0.14141902230812595,0.3999743216639562,0.383119812726112,0.34919722449376156,0.2517167624605207,2665.6417,0.6399320043269974,0.025609756097560978,0.024390243902439025
25,PRSV11,40000.0,94.0,0.01837181937877005,0.10849056603773585,0.14513407087942995,0.30961284645842496,0.3014741304557279,0.04167673351050978,0.3999743216639562,0.36203447542030226,0.3291420058457278,0.015661860029270447,405.0135,0.48354195642095504,0.09012195121951219,0.04878048780487805
26,WPLZ11B,7596.0,253.0,0.005467803386538706,0.18459119496855347,0.1366022876429777,0.11746590409150902,0.14596781963580305,0.7321414190223081,0.05181032269108967,0.021357735688444325,0.04939720991992486,0.01662771224453049,82.1311,0.43509503940658323,0.10731707317073172,0.024390243902439025
27,TBOF11,8423.0,5724.0,0.008144839924588056,0.23647798742138365,0.1936996062253891,0.2446106467223933,0.275363715194142,0.09084319884029958,0.3999743216639562,0.3724281762077038,0.3390279250904792,0.3212868796400002,79.5791,0.5382475660639777,0.39146341463414636,0.024390243902439025
28,VLOL11,8849.0,1459.0,0.012449094750471325,0.3315513626834382,0.34080255015938493,0.4418169819621645,0.4372290201368147,0.2695095433679633,0.3999743216639562,0.38014896786550334,0.3750414949517849,0.03837534401654325,74.2624,0.6411682892906815,0.13670731707317074,0.024390243902439025
29,AGCX11,1.239,321.0,0.3153828993355525,0.5904612159329141,0.5654415900993812,0.6634403871535415,0.6037190480778495,0.457115245228316,0.44704271163228626,0.4482485635241541,0.45795852933794295,0.16532525291325323,1066.5353,0.6180652140318343,0.09012195121951219,1.0
31,BMLC11B,8397.0,246.0,0.013092108428728277,0.37368972746331236,0.4806862928933059,0.5827100747910251,0.5383948357259851,0.3287428525408714,0.36545407857570833,0.3491210895935306,0.35407945979645206,0.017870542065432714,84.3211,0.48987791685983617,0.39878048780487807,0.04878048780487805
32,BMLC11B,8397.0,246.0,0.013092108428728277,0.37368972746331236,0.4806862928933059,0.5827100747910251,0.5383948357259851,0.3287428525408714,0.36545407857570833,0.3491210895935306,0.35407945979645206,0.017870542065432714,84.3211,0.48987791685983617,0.39878048780487807,0.04878048780487805
33,BPFF11,10700.0,2240.0,0.029307426151847463,0.6582809224318659,0.6342583911494468,0.7509898812142543,0.6789671451970324,0.5196102118063944,0.8687751433707096,0.875837412215365,0.8747621630812329,0.06533229209366437,98.0607,0.5635914078195023,0.09012195121951219,0.0
34,CXCE11B,2.4,9.0,0.7745384080381085,0.7424528301886794,0.6814175885992875,0.7982842058952926,0.7272376914924367,0.5793669968591447,0.6104853205512284,0.624354117897425,0.6396780801399088,0.04899325064334138,2299.9366,0.5267346623396693,0.09012195121951219,0.024390243902439025
35,CXTL11,57299.0,24.0,0.046852513658572854,0.19696016771488473,0.14982186386649166,0.26946766388033433,0.40254359764909914,0.11500362406378353,0.3700419412822049,0.3393998723132582,0.31551546850836776,0.0041771081274964384,968.1842,0.17771596352959357,0.09012195121951219,0.0975609756097561
37,FLMA11,266.0,12353.0,0.00043742427092309646,0.3910901467505241,0.3833677104819051,0.4814122305323361,0.45235571827729065,0.3179109285656761,0.7663357014465462,0.7506958927431369,0.7340922523864658,0.05992428010831373,2.6562,0.49420491423273066,0.09012195121951219,0.024390243902439025
38,EDFO11B,29500.0,55.0,0.0763130383052434,0.619916142557652,0.5630039377461091,0.6769687637483502,0.605356970806436,0.4911411774180559,0.8585123683985278,0.8622855926792935,0.8588685844756251,0.0,178.1373,1.0,0.09012195121951219,0.024390243902439025
39,EURO11,19963.0,233.0,0.043742427092309646,0.5188679245283019,0.5113444590286893,0.5896392432908051,0.4296174968686771,0.40066038495610856,0.48556877514337077,0.48091083209193447,0.48330081208656855,0.03257983590133307,309.628,0.2185906351414001,0.14414634146341465,0.14634146341463414
