,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
50,FLRP11,Shoppings,1420.0,0.00013515834645026314,0.49779086892488955,0.5443037974683544,0.46268656716417905,0.4140625,0.41984732824427484,0.30935251798561153,0.816919191919192,0.8280201342281879,0.8342687355562892,0.01572048861936412,0.5096542261426913,0.4105263157894737,0.010110803324099723,0.022727272727272728
52,FPAB11,Lajes Corporativas,372.99,0.00021400071521291664,0.0625920471281296,0.2721518987341772,0.3582089552238806,0.3828125,0.38167938931297707,0.302158273381295,0.734848484848485,0.7277684563758389,0.768900627269726,0.07357045194800074,0.13123798618951518,0.42105263157894735,0.28310249307479224,0.022727272727272728
53,FVBI11,Lajes Corporativas,158.0,0.008895108675757943,0.023195876288659795,0.25949367088607594,0.2835820895522388,0.2890625,0.2595419847328244,0.1474820143884892,0.816919191919192,0.8091442953020134,0.8194123473093431,0.07474613762601912,0.0458259904497203,0.6105263157894737,0.0,0.022727272727272728
54,FVPQ11,Shoppings,181.88,0.02318810381287327,0.03203240058910162,0.26582278481012656,0.5074626865671642,0.515625,0.4580152671755725,0.4352517985611511,0.5879629629629629,0.5801174496644295,0.6642456256190162,0.15198224632884455,0.06767073603679384,0.3684210526315789,0.03324099722991689,0.022727272727272728
55,GGRC11,Logística,120.0,0.10205018316771743,0.026877761413843886,0.33544303797468356,0.42537313432835816,0.40625,0.38167938931297707,0.460431654676259,0.7781986531986532,0.7751677852348994,0.8174314955430836,0.19810024968108617,0.03701772846629416,0.5368421052631579,0.0,0.3409090909090909
56,GRLV11,Logística,120.5,0.02225325858325895,0.023564064801178203,0.3164556962025316,0.3656716417910447,0.40625,0.43511450381679384,0.35611510791366907,0.7567340067340068,0.7525167785234899,0.7906899966985804,0.028035977349694097,0.04112121435036669,0.4421052631578947,0.11357340720221605,0.022727272727272728
57,GTWR11,Lajes Corporativas,106.0,0.4114529803823292,0.025405007363770247,0.3734177215189873,0.4402985074626865,0.46875,0.0,0.4244604316546763,0.8459595959595961,0.8456375838926175,0.8679432155827006,0.3079789587763739,0.030493089960052577,0.6105263157894737,0.039473684210526314,0.022727272727272728
58,HABT11,Títulos e Val. Mob.,99.61,0.1316554926380938,0.029455081001472757,0.4430379746835443,0.6417910447761194,0.0,0.0,0.6510791366906475,0.7735690235690236,0.7776845637583892,0.8309673159458568,0.08784785872503544,0.03149737255366035,0.5052631578947369,0.039473684210526314,0.0
60,HCRI11,Hospital,346.5,0.0019879540123726204,0.0975699558173785,0.3924050632911392,0.4402985074626865,0.484375,0.4961832061068702,0.22302158273381295,0.816919191919192,0.8179530201342282,0.8263453284912513,0.005703786802355214,0.09239719696412409,0.7263157894736842,0.0,0.022727272727272728
61,HCTR11,Outros,115.38,0.051976831606779315,0.07069219440353461,1.0,0.9328358208955223,0.7890625,0.0,1.0,0.539983164983165,0.5780201342281879,0.6751403103334433,0.023209779674017383,0.03584073485340352,0.5263157894736842,0.039473684210526314,0.0
62,HFOF11,Títulos e Val. Mob.,104.6,0.6989263358853858,0.02577319587628866,0.37974683544303794,0.5597014925373134,0.546875,0.6412213740458015,0.41007194244604317,0.5694444444444445,0.5692114093959731,0.6474083856058105,0.3225593382359703,0.034040062559769206,0.4842105263157895,0.039473684210526314,0.0
63,HGBS11,Shoppings,250.0,0.15305556415938548,0.05154639175257732,0.3164556962025316,0.3582089552238806,0.390625,0.4122137404580153,0.3525179856115108,0.6973905723905724,0.6933724832214764,0.7438098382304391,0.6385901752789002,0.07597046001899821,0.5684210526315789,0.07797783933518006,0.36363636363636365
64,HGCR11,Títulos e Val. Mob.,102.0,0.2789105110956555,0.022091310751104563,0.33544303797468356,0.3731343283582089,0.4140625,0.4427480916030534,0.3741007194244605,0.7142255892255892,0.7109899328859061,0.7586662264773854,0.34403851310060485,0.03300059809186307,0.4842105263157895,0.039473684210526314,0.0
65,HGFF11,Títulos e Val. Mob.,91.1,0.00904997761439887,0.022091310751104563,0.34810126582278483,0.5,0.4140625,0.0,0.38848920863309355,0.7196969696969698,0.7172818791946308,0.7646087817761638,0.04372992891720163,0.03448783186902108,0.3368421052631579,0.039473684210526314,0.0
66,HGLG11,Logística,154.1,0.2991363944821605,0.028718703976435937,0.27848101265822783,0.3059701492537313,0.34375,0.3511450381679389,0.3057553956834532,0.4991582491582492,0.49244966442953014,0.5823704192802905,0.4280946559548909,0.04278755585122545,0.6631578947368421,0.0886426592797784,0.29545454545454547
67,HGPO11,Lajes Corporativas,199.9,0.016739924367641965,0.03276877761413844,0.25949367088607594,0.29850746268656714,0.328125,0.3282442748091603,0.2949640287769784,0.6805555555555557,0.6728187919463087,0.724991746450974,0.08046628315935751,0.06410137497161461,0.5052631578947369,0.023961218836565094,0.045454545454545456
68,HGRE11,Lajes Corporativas,155.44,0.1823933727357457,0.027245949926362298,0.26582278481012656,0.33582089552238803,0.34375,0.3511450381679389,0.2841726618705036,0.3665824915824917,0.3590604026845637,0.4760647078243645,0.467696952980831,0.05145509033745814,0.47368421052631576,0.2934903047091413,0.5
69,HGRU11,Híbrido,114.84,0.2795328026491036,0.025036818851251842,0.3291139240506329,0.39552238805970147,0.4296875,0.4427480916030534,0.3741007194244605,0.7601010101010102,0.7571308724832215,0.7953119841531859,0.27456432284161975,0.03371063228224818,0.5894736842105263,0.0,0.29545454545454547
