,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
46,FEXC11,Títulos e Val. Mob.,100.29,0.016496139453365543,0.019952114924181964,0.2553191489361702,0.4329268292682927,0.7452830188679245,0.48920863309352525,0.6550218340611353,0.6956413449564135,0.6988929889298894,0.6844255319148936,0.09055580280123855,0.030608081400538084,0.609375,0.05231930960086299,0.0
47,FIGS11,Shoppings,61.06,0.04103311070058263,0.003990422984836393,0.08510638297872342,0.06707317073170732,0.22641509433962262,0.22302158273381295,0.15829694323144103,0.840348692403487,0.8341943419434193,0.25923404255319143,0.07442557390268983,0.030266999885243603,0.3046875,0.11758360302049622,0.03125
48,FIIB11,Híbrido,507.03,0.008147411302164748,0.09457302474062251,0.2712765957446809,0.25,0.38679245283018865,0.32374100719424465,0.3286026200873362,0.5872976338729763,0.5923739237392374,0.3428085106382978,0.07794423492968529,0.13491845920410064,0.75,0.027831715210355986,0.015625
50,FIVN11,Shoppings,4.36,0.011131637534934395,0.0,0.0,0.0,0.0,0.0,0.0,0.6508094645080946,0.6428044280442804,0.6713191489361702,0.018328678659660296,0.0014950208474122431,0.265625,0.6040992448759439,0.015625
51,FLMA11,Híbrido,3.04,0.19434181232532802,0.0003990422984836393,0.09574468085106383,0.12195121951219513,0.2169811320754717,0.19424460431654678,0.2205240174672489,0.7681195516811955,0.7633456334563347,0.33310638297872336,0.0532827066608808,0.0,0.640625,0.06472491909385113,0.03125
52,FLRP11,Shoppings,1355.05,0.00010657950831320165,0.06943335993615324,0.06914893617021277,0.27439024390243905,0.4433962264150943,0.32374100719424465,0.14737991266375547,0.7232876712328767,0.7175891758917589,0.7446808510638298,0.02699319908715206,0.5052564805487906,0.484375,0.021143473570658034,0.015625
54,FPAB11,Lajes Corporativas,307.53,0.00029605418975889346,0.059856344772545894,0.2553191489361702,0.3170731707317073,0.4811320754716981,0.3597122302158274,0.425764192139738,0.5733499377334994,0.5778597785977859,0.3227234042553191,0.08291741175519271,0.13095617580680122,0.3984375,0.294066882416397,0.015625
55,FVPQ11,Shoppings,159.6,0.003564492444697077,0.0031923383878691143,0.026595744680851068,0.10365853658536586,0.1509433962264151,0.2877697841726619,0.18777292576419213,0.5544209215442092,0.5488314883148832,0.22536170212765955,0.16107859918714568,0.06728550116669005,0.40625,0.02588996763754045,0.015625
56,GGRC11,Logística,145.0,0.11393349438681256,0.02713487629688747,0.25,0.2865853658536585,0.49056603773584906,0.3741007194244605,0.4814410480349345,0.7977584059775841,0.8002460024600246,0.8217872340425532,0.21819286229184387,0.038794037767605545,0.7265625,0.0,0.234375
57,GRLV11,Logística,138.29,0.01772772488276254,0.028332003192338386,0.2872340425531915,0.34146341463414637,0.5283018867924528,0.38848920863309355,0.4748908296943231,0.6283935242839352,0.6337023370233702,0.7698723404255319,0.03726549483913645,0.04110510410955411,0.640625,0.039913700107874865,0.015625
58,GSFI11,Shoppings,2.7,0.015288238359149258,0.0,0.015957446808510637,0.006097560975609756,0.0,0.0,0.0032751091703056767,0.6508094645080946,0.6435424354243543,0.6718297872340425,0.2194179700727614,0.002865722264016219,0.0,0.05231930960086299,0.15625
59,GTWR11,Lajes Corporativas,117.56,0.2625053289754157,0.027533918595371108,0.324468085106383,0.3597560975609756,0.5660377358490566,0.43165467625899284,0.5240174672489083,0.6376089663760897,0.6447724477244772,0.6977021276595744,0.3170495669061269,0.030305252017799995,0.7578125,0.0,0.015625
60,HABT11,Títulos e Val. Mob.,113.57,0.16772061958220832,0.03870710295291301,0.473404255319149,0.48170731707317077,0.7547169811320755,0.0,0.7205240174672488,0.8037359900373598,0.8169741697416975,0.6818723404255318,0.10411723810762119,0.0314336899282135,0.6953125,0.05231930960086299,0.0
61,HBRH11,Híbrido,96.99,0.013429018047463407,0.027932960893854747,0.3723404255319149,0.41463414634146345,0.6415094339622641,0.0,0.5633187772925764,0.625653798256538,0.6351783517835179,0.7431489361702127,0.05878390954327387,0.030455072870312523,0.59375,0.05231930960086299,0.046875
