,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
22,CNES11,Lajes Corporativas,7550.0,0.0,0.0044922897876054696,0.06579180705798901,0.07948022959183673,0.1565154088813395,0.21628589207929594,0.33784237262639005,0.18951715795144175,0.16684035576318387,0.032458799155463014,0.10224786344560338,0.03382745330566261,0.05713507903288925,1.0,0.024390243902439025
23,CPTS11B,Títulos e Val. Mob.,10200.0,3533.0,0.02521578896324314,0.280413193828693,0.6757015306122449,0.6605192914341179,0.7065516934838652,0.0731899235121906,0.23773520711457222,0.25623034767765696,0.5448549008361311,0.04974419360958299,0.03468351615772309,0.10064145100641451,0.0955685618729097,0.0
25,CXCE11B,Outros,2.228,17.0,0.7533003588400736,0.37918957261925873,0.6779336734693878,0.713176413491871,0.7306427237976708,0.09897129103553616,0.23773520711457222,0.2762465187314706,0.550363180561805,0.05233522666777546,0.854932552623777,0.08469875623160295,0.0955685618729097,0.024390243902439025
26,CXRI11,Híbrido,1.00025,63.0,0.27155465037338766,0.29335875155169355,0.6201371173469388,0.6110976300250748,0.6325006667259312,0.07656881009963086,0.23773520711457222,0.2588536519629862,0.5455768118235175,0.05589000739160203,0.3911243699970353,0.0813979208139792,0.0955685618729097,0.0
27,CXTL11,Logística,48202.0,34.0,0.05983124818155368,0.141558787018975,0.13058035714285715,0.09334303971527946,0.12872255311583253,0.03694789340307108,0.23773520711457222,0.22809271404186504,0.537111663807042,0.00730425495181575,0.3497850578120368,0.007214196995218893,0.0955685618729097,0.0975609756097561
28,DOMC11,Lajes Corporativas,55000.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6488361323491886,0.5901985446051567,0.28203232776736664,0.08834996849520442,0.36935962051586124,0.014207203988225886,0.39197324414715723,0.024390243902439025
29,DRIT11B,Lajes Corporativas,16100.0,13.0,0.02599165939288139,0.1844741975527576,0.40138711734693877,0.43767693925422635,0.5982754022579785,0.048149133871023736,0.23773520711457222,0.23678914742610727,0.5395048481761858,0.010293508733262974,0.045263860065223836,0.13986013986013987,0.12709030100334448,0.0975609756097561
30,EDFO11B,Lajes Corporativas,28995.0,81.0,0.06957230142566193,0.2789945025713779,0.4996014030612245,0.5112836690123757,0.5388923459863099,0.07281963457110126,0.23773520711457222,0.25594286227652496,0.5447757873032669,0.0036942654100322074,0.06510524755410614,0.19701223350858388,0.11638795986622075,0.024390243902439025
31,EDGA11,Lajes Corporativas,4849.0,0.0,0.015284647463873533,0.3608352544777443,0.5901626275510204,0.4777966512982286,0.36474353275846744,0.5698052511600459,0.9835177817051158,0.9872428353247685,0.6483156234393619,0.12263329335953839,0.0306700266824785,0.01701461555476154,0.32608695652173914,0.024390243902439025
32,EURO11,Logística,16100.0,333.0,0.028707205896615264,0.2056658982089023,0.35977359693877553,0.4085577934158376,0.4678638101164548,0.053680324928545804,0.23773520711457222,0.24108346060551608,0.5406866065733457,0.037418657445069586,0.11734361102875777,0.006329436986371293,0.6222408026755853,0.14634146341463414
33,FAED11,Outros,22489.0,0.0,0.055544564057802344,0.2822752261039192,0.5577168367346939,0.5865081290948799,0.642190416925949,0.07367592774737038,0.23773520711457222,0.2566076722666427,0.5449587373480155,0.028067749411106378,0.05685591461606879,0.16551818011672026,0.0,0.07317073170731707
35,FCFL11,Outros,2.03,70.0,0.4532712636989623,0.25270438020925695,0.46293048469387754,0.47318611987381703,0.49151035647613117,0.7677478332311182,0.6214760280122104,0.6174737220375528,0.46674759321799236,0.11172687490599306,0.6648495404684257,0.11280690112806901,0.0,0.024390243902439025
36,FEXC11,Títulos e Val. Mob.,10485.0,0.0,0.01784501988167976,0.19449370455754567,0.4746492346938776,0.5818167111542506,0.6725042225975641,0.05076429951746722,0.23773520711457222,0.2388195130716018,0.5400635875020396,0.0477027415887619,0.036295582567447374,0.097680907899886,0.0955685618729097,0.0
37,FFCI11,Lajes Corporativas,16470.0,2336.0,0.01939676074095626,0.13459833303777266,0.27168367346938777,0.3094718110490981,0.3482087296648591,0.06937131880720676,0.0,0.0,0.4814973225013721,0.14236315697667687,0.06270382448858583,0.08350773314276964,0.19464882943143816,0.1951219512195122
38,FIGS11,Shoppings,5650.0,10306.0,0.032326641450877706,0.6157563397765562,1.0,1.0,1.0,0.16071697196218426,0.23773520711457222,0.32418470937022725,0.5635553621669196,0.08971070347453282,0.03435739697598576,0.021234240212342402,0.19414715719063544,0.04878048780487805
39,FIIB11,Híbrido,43500.0,1286.0,0.10086315585297256,0.26498492640539106,0.49513711734693877,0.5219606891531182,0.5611165436927726,0.8765202096761129,0.42608991503718896,0.43322253166831365,0.8183503839478642,0.09742854362414752,0.14283649570115625,0.1112245418814762,0.07675585284280936,0.024390243902439025
40,FIIP11B,Logística,18300.0,740.0,0.14641838812918243,0.8671306969320802,0.8406409438775511,0.699102159669983,0.6722375322250866,0.22632754371145233,0.23773520711457222,0.37512352888329886,0.577573291271305,0.06017202606464488,0.06970056329676846,0.08369489391387201,0.0955685618729097,0.17073170731707318
42,FIXX11,Títulos e Val. Mob.,8488.0,330.0,0.017457084666860634,0.24042383401312292,0.44164540816326536,0.46242821321685673,0.5026224553293627,0.06275240398523473,0.23773520711457222,0.24812685293324946,0.5426248881285199,0.0,0.032682330269789506,0.07930512310074354,0.0955685618729097,0.0
43,FLMA11,Híbrido,292.0,39353.0,0.0005159538357094365,0.20194183365845012,0.4167729591836735,0.4406697403542829,0.4627077962485554,0.052708316458186286,0.23773520711457222,0.24032881142754464,0.540478933549577,0.06685058278696591,0.0,0.09836149252207646,0.0955685618729097,0.024390243902439025
44,FLRP11,Shoppings,1.25,20.0,0.3511473183978276,0.3140184429863451,0.47018494897959184,0.4353312302839117,0.5192461552137967,0.8111294969856165,0.4417121093270076,0.45830563291707843,0.9528878911793356,0.02021461366892895,0.5417247257634153,0.06579551835026287,0.047993311036789305,0.024390243902439025
45,FMOF11,Lajes Corporativas,7997.0,208.0,0.039957327126369895,0.5218567121830112,0.4692283163265306,0.3554962387769959,0.30447150857854033,0.47560143024103496,0.23881259982421488,0.30619890396190813,0.0,0.01444149625716346,0.048410168989030535,0.0225613802256138,0.9386287625418062,0.024390243902439025
46,FOFT11,Títulos e Val. Mob.,9495.0,289.0,0.020560566385413637,0.2484926405391027,0.5769292091836735,0.5498665372482407,0.5686727709129701,0.06485842233768037,0.23773520711457222,0.2497619261521876,0.5430748463466853,0.03267661080398385,0.03345686332641565,0.09415888248005036,0.0955685618729097,0.0
47,FPAB11,Lajes Corporativas,36980.0,53.0,0.06982833866744254,0.2156854052136904,0.3989955357142857,0.7080805629701529,0.6219219486176549,0.056295490574989296,0.23773520711457222,0.24311382625101066,0.5412453458991995,0.10303778152450402,0.13698487992884673,0.08951389243360046,0.22357859531772575,0.024390243902439025
49,FVPQ11,Shoppings,19000.0,3677.0,0.06400931044515566,0.37901223621209434,0.5686383928571429,0.48548087033891446,0.44750644501733483,0.0989250049179,0.23773520711457222,0.2762105830563291,0.550353291370197,0.20269614322977805,0.06869626445300919,0.09238936246235516,0.08812709030100334,0.024390243902439025
50,GGRC11,Logística,12620.0,16584.0,0.03413829890408302,0.2963734704734882,0.6103316326530612,0.6136859985440427,0.605120455151569,0.07735567409944573,0.23773520711457222,0.2594645584403917,0.5457449280808541,0.17654554117111182,0.04279202490364661,0.10215575179078829,0.0,0.3170731707317073
51,GRLV11,Logística,9737.0,1153.0,0.021336436815051887,0.2502216705089555,0.5093271683673469,0.5571463237078379,0.5704507067294871,0.065309711984633,0.23773520711457222,0.2501122989848171,0.5431712659648636,0.03546436446372533,0.03969389267714201,0.07132526840556037,0.12173913043478261,0.024390243902439025
52,HBTT11,Outros,1.11,10.0,0.2859082533216953,0.29437843589288887,0.3223852040816326,0.0,0.0,0.07683495527603884,0.23773520711457222,0.25906028209504983,0.5456336746752637,0.040439022708762554,0.42738659946635044,0.08395011314719344,0.0955685618729097,0.0
54,HFOF11,Títulos e Val. Mob.,9757.0,6257.0,0.02909514111143439,0.341195247384288,0.5204878826530612,0.5138720375313435,0.0,0.08905449033198717,0.23773520711457222,0.268547300332405,0.5482444212597841,0.08089742159013813,0.03445375037058998,0.09393769247783847,0.0955685618729097,0.0
55,HGBS11,Shoppings,23100.0,8035.0,0.05431093007467753,0.2602411775137436,0.4878029336734694,0.47496562323060754,0.49746644146146324,0.06792487763107649,0.23773520711457222,0.2521426646303117,0.5437300052907175,0.48484626783372425,0.08108138155944264,0.09795314174876218,0.11505016722408028,0.1951219512195122
56,HGCR11,Títulos e Val. Mob.,11900.0,7623.0,0.028707205896615264,0.27593544954779214,0.5735012755102041,0.5790665696028472,0.6487687794470619,0.07202119904187736,0.23773520711457222,0.25532297188033415,0.5446051987480283,0.09980528702952421,0.03772976578713311,0.11413404114134042,0.0955685618729097,0.0
57,HGJH11,Lajes Corporativas,18350.0,1995.0,0.031034817185530018,0.20278418159248093,0.3698979591836735,0.39634392946695784,0.42857142857142855,0.052928175516958074,0.23773520711457222,0.24049950588446675,0.5405259072097152,0.08951515792548571,0.054450785650756006,0.12910690282953058,0.02842809364548495,0.04878048780487805
58,HGLG11,Logística,14605.0,10614.0,0.02909514111143439,0.22854229473310872,0.424984056122449,0.4532880368842514,0.5204018134945328,0.05965123410361147,0.23773520711457222,0.24571916269876917,0.5419623122907817,0.3848817009505798,0.04374444115031129,0.12623143280077587,0.07859531772575251,0.2926829268292683
59,HGRE11,Lajes Corporativas,14440.0,10661.0,0.028707205896615264,0.22605958503280726,0.4036989795918367,0.4315295640216776,0.4954218152724687,0.05900322845670513,0.23773520711457222,0.24521606324678824,0.5418238636082693,0.45559163268480085,0.05524014230655203,0.08236775390060061,0.3282608695652174,0.4878048780487805
60,HGRU11,Híbrido,10700.0,1500.0,0.026379594607700518,0.2820092214931726,0.5446428571428572,0.5471163956968373,0.0,0.07360649857091613,0.23773520711457222,0.25655376875393043,0.5449439035606034,0.05049492439596301,0.03698117402905425,0.09805522944209076,0.0,0.024390243902439025
61,HMOC11,Shoppings,22000.0,2144.0,0.05237125400058191,0.2720340485901756,0.4499362244897959,0.41672733155382996,0.5013779002578006,0.07100290445388167,0.23773520711457222,0.25453238702722125,0.5443876365326517,0.014878923693182868,0.0657315446190335,0.1283412451295663,0.07692307692307693,0.04878048780487805
62,HTMX11,Hotel,14985.0,0.0,0.04182329550964989,0.31880652597978365,0.610092474489796,0.6363342230850118,0.5194239487954485,0.08321086798042097,0.23773520711457222,0.264010421345791,0.5469959108192701,0.0516615229142557,0.05084865105247554,0.10270021948854066,0.4180602006688963,0.5853658536585366
63,HUSC11,Outros,12900.0,19.0,0.03491416933372127,0.3711651001950701,0.2224968112244898,0.11283669012375638,0.06204995999644413,0.09687684421249958,0.9465462003005358,0.9540562393315964,0.7368906403746026,0.016281730388503494,0.03602134598280462,0.14009834447790653,0.0955685618729097,0.0
64,IRDM11,Títulos e Val. Mob.,11100.0,4731.0,0.03339734264377849,0.3470030147189218,0.7016103316326531,0.6906899619833374,0.0,0.8056214489869127,1.0,1.0,1.0,0.0440236094698641,0.034387044174325525,0.11816650502781889,0.0955685618729097,0.0
65,JRDM11,Shoppings,7350.0,0.0,0.05410532441082339,0.8412395814860791,0.8417570153061226,0.6672328722801909,0.5693839452395768,0.8893298927319224,0.639895663021803,0.7594286227652501,0.46384264318313295,0.06536111032720485,0.03053290839015713,0.06739489221241046,0.01839464882943144,0.024390243902439025
