,Ano/Mês,Unnamed: 0,Códigodo fundo,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
26,202012,36,MGFF11,84.4,0.12886677856646914,0.034411562284927734,0.3607594936708861,0.4198473282442749,0.43939393939393934,0.4460431654676259,0.5576748410535877,0.6458923512747876,0.6495184997465788,0.34030261348005497,0.2005913436724028,0.026371964778084143,0.568,0.06864988558352403,0.0
27,202012,37,CEOC11,70.0,0.024233722286261267,0.0213351686166552,0.27848101265822783,0.3969465648854962,0.43939393939393934,0.4316546762589928,0.5495004541326067,0.44939479783672426,0.4521033958438925,0.31389270976616235,0.044317203089158895,0.03018386043379373,0.35200000000000004,0.0,0.015625
28,202012,38,BTCR11,84.2,0.01110908882552394,0.03303509979353063,0.3607594936708861,0.3511450381679389,0.3409090909090909,0.3525179856115108,0.4414168937329701,0.7308781869688386,0.7336543335022807,0.4372764786795048,0.11907246634542602,0.02977090507109185,0.48,0.06864988558352403,0.0
29,202012,39,FEXC11,91.82,0.00973393462624792,0.03234686854783207,0.310126582278481,0.3587786259541985,0.4772727272727272,0.4820143884892087,0.631244323342416,0.6221993304146279,0.6241763811454638,0.5063273727647868,0.08628314927860045,0.030536460781946863,0.528,0.06864988558352403,0.0
30,202012,40,RBRL11,110.02,0.01687260274896021,0.04473503097040606,0.3734177215189873,0.4427480916030534,0.4621212121212121,0.0,0.42415985467756573,0.6796291527169714,0.6832235174860618,0.8330123796423659,0.0839918946945195,0.0317308547540692,0.64,0.0,0.078125
31,202012,41,RBRP11,93.61,0.21767207965108834,0.03991741225051617,0.3924050632911392,0.4732824427480916,0.43939393939393934,0.366906474820144,0.5068119891008175,0.6958537213494721,0.7002027369488089,0.7236588720770288,0.18818273478877584,0.026190899734437938,0.664,0.09153318077803203,0.1875
32,202012,42,RECR11,108.49,0.2074460555319622,0.09015829318651067,0.8164556962025317,0.8931297709923663,0.7045454545454546,0.6187050359712231,0.8274296094459582,0.8462528972443987,0.866953877344146,0.6629986244841816,0.2154149576426872,0.02972325637539549,0.68,0.06864988558352403,0.0
33,202012,43,RECT11,94.32,0.1525612246961516,0.049552649690295936,0.4746835443037974,0.564885496183206,0.5909090909090909,0.5611510791366907,0.7275204359673024,0.7010043780582024,0.7085656360871769,0.6210453920220083,0.1725905119808418,0.029605722926011106,0.568,0.15789473684210525,0.125
34,202012,44,BCFF11,89.92,0.27453875036232617,0.034411562284927734,0.35443037974683544,0.3969465648854962,0.3712121212121212,0.3597122302158274,0.4568574023614896,0.6852948750965748,0.6882919412062848,0.5144429160935351,0.4434087497404317,0.02548887561784476,0.648,0.06864988558352403,0.0
35,202012,45,BMLC11B,95.72,0.0009100285142267793,0.03991741225051617,0.38607594936708856,0.4580152671755725,0.4621212121212121,0.4100719424460432,0.5349682107175295,0.7293329899562194,0.7331474911302585,0.5456671251719395,0.02243705828304829,0.02892593486740956,0.6,0.01945080091533181,0.03125
