;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
86;FVBI11;Lajes Corporativas;11800.0;0.0;R$ 0,3863;0,3464%;1,0640%;2,4738%;4,7106%;0,3547%;0,4123%;0,3926%;4,0053%;4,2056%;4,5666%;13,2166%;R$ 202.389.206,3200;R$ 94,1345;12535.0;;;;;20,9000%;;1
87;FCFL11;Outros;1.97001;86.0;R$ 11,6128;0,5895%;1,7734%;3,5038%;6,5265%;0,5911%;0,5840%;0,5439%;6,0648%;1,7567%;2,3566%;-6,8610%;R$ 262.294.795,3800;R$ 1.570,6275;12543.0;0,7394%;0,0054%;0,7448%;20,9225%;0,0000%;;1
88;THRA11;Lajes Corporativas;11850.0;1285.0;R$ 0,5793;0,4897%;1,5934%;3,1596%;5,3009%;0,5311%;0,5266%;0,4417%;4,9197%;10,0279%;10,5668%;9,9383%;R$ 134.328.967,3000;R$ 91,2110;12992.0;0,6351%;-0,1046%;0,5298%;13,1238%;0,0000%;;1
89;CEOC11;Lajes Corporativas;7900.0;1422.0;R$ 0,5544;0,6998%;2,0814%;4,0693%;7,6711%;0,6938%;0,6782%;0,6393%;7,0898%;0,2911%;0,9930%;-5,5203%;R$ 151.718.653,9300;R$ 83,5595;9454.0;0,6635%;-0,0508%;0,6124%;10,9198%;0,0000%;;1
90;GGRC11;Logística;13021.0;16441.0;R$ 1,0800;0,8377%;2,3945%;4,3113%;7,8825%;0,7982%;0,7186%;0,6569%;7,2373%;4,2536%;5,1270%;4,4178%;R$ 456.699.993,5700;R$ 118,7397;10966.0;0,9096%;-0,2371%;0,6703%;16,0847%;0,0000%;;13
91;OUJP11;Títulos e Val. Mob.;10116.0;1351.0;R$ 0,5603;0,5509%;1,9357%;3,5873%;7,4909%;0,6452%;0,5979%;0,6242%;6,7861%;3,6799%;4,2510%;2,4746%;R$ 75.564.121,1000;R$ 104,9502;9639.0;0,5338%;0,4095%;0,9455%;10,6436%;;;0
92;HCRI11;Hospital;30680.0;0.0;R$ 1,7741;0,5650%;2,1126%;4,3233%;8,2435%;0,7042%;0,7206%;0,6870%;7,5790%;0,9192%;1,4893%;3,4662%;R$ 62.899.009,4100;R$ 314,4950;9755.0;0,5641%;0,0005%;0,5646%;8,1772%;0,0000%;;1
93;RBRF11;Títulos e Val. Mob.;9961.0;2060.0;R$ 0,6500;0,6507%;1,9250%;4,4156%;8,5274%;0,6417%;0,7359%;0,7106%;8,1358%;1,9388%;2,6020%;12,2627%;R$ 155.716.445,1500;R$ 95,8886;10388.0;0,6779%;-0,4058%;0,2693%;2,2712%;;;0
94;VISC11;Shoppings;10557.0;25074.0;R$ 0,6042;0,5748%;1,8126%;3,6248%;7,0052%;0,6042%;0,6041%;0,5838%;6,4187%;3,2512%;3,8446%;7,7470%;R$ 796.942.524,6300;R$ 97,6576;10810.0;0,6187%;-0,1376%;0,4802%;5,9884%;4,7000%;;9
95;XPML11;Shoppings;10494.0;9467.0;R$ 0,6500;0,6194%;1,7668%;3,0872%;0,0000%;0,5889%;0,5145%;0,0000%;5,6054%;6,6463%;7,3069%;6,3276%;R$ 519.579.063,4400;R$ 104,2295;10068.0;0,6236%;-0,9083%;-0,2904%;14,7016%;3,5000%;;3
96;BCFF11;Títulos e Val. Mob.;8319.0;10957.0;R$ 0,5800;0,6955%;2,0176%;3,9993%;7,6020%;0,6725%;0,6666%;0,6335%;6,9618%;0,8221%;1,5234%;9,0032%;R$ 504.933.229,1000;R$ 84,8718;9802.0;0,6834%;1,1675%;1,8588%;1,2201%;;;0
97;MALL11;Shoppings;10360.0;7475.0;R$ 0,6400;0,6281%;1,8759%;3,7444%;0,0000%;0,6253%;0,6241%;0,0000%;6,5369%;2,1351%;2,7767%;8,7518%;R$ 178.312.126,4800;R$ 95,8598;10807.0;0,6676%;0,1617%;0,8304%;6,7947%;0,0000%;;1
98;UBSR11;Títulos e Val. Mob.;10435.0;915.0;R$ 1,1120;1,0442%;4,3554%;8,2110%;0,0000%;1,4518%;1,3685%;0,0000%;10,9361%;4,6272%;5,7197%;10,5670%;R$ 120.929.103,4400;R$ 97,2550;10730.0;1,1434%;2,0359%;3,2026%;13,7783%;;;0
99;BZLI11;Títulos e Val. Mob.;1361.0;60513.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,6787%;0,6787%;1,1364%;R$ 364.037.777,7500;R$ 12,2535;11107.0;;;;;;;0
100;ALZR11;Outros;9400.0;2242.0;R$ 0,6511;0,6927%;2,1070%;4,1782%;0,0000%;0,7023%;0,6964%;0,0000%;7,1239%;3,0815%;3,7955%;-2,5146%;R$ 97.115.106,2600;R$ 97,4032;9651.0;0,6685%;0,0100%;0,6785%;9,4471%;0,0000%;;2
101;MGFF11;Títulos e Val. Mob.;9000.0;0.0;R$ 0,7000;0,7830%;2,2111%;3,3954%;0,0000%;0,7370%;0,5659%;0,0000%;4,0605%;1,5909%;2,3864%;-6,9061%;R$ 114.177.149,8900;R$ 94,6800;9506.0;0,7393%;2,4411%;3,1985%;2,6756%;;;0
102;IRDM11;Títulos e Val. Mob.;10219.0;5085.0;R$ 0,9732;0,9561%;2,5204%;5,1042%;0,0000%;0,8401%;0,8507%;0,0000%;6,1794%;-0,7411%;0,2079%;9,3019%;R$ 104.575.646,9600;R$ 96,8293;10554.0;1,0051%;0,4544%;1,4641%;8,1839%;;;0
103;HFOF11;Títulos e Val. Mob.;8990.0;4671.0;R$ 0,5400;0,6054%;1,8518%;4,0240%;0,0000%;0,6173%;0,6707%;0,0000%;5,4650%;1,2486%;1,8615%;-5,8079%;R$ 220.418.323,7900;R$ 93,2078;9645.0;0,5794%;2,8948%;3,4909%;-3,2691%;;;0
104;WPLZ11;Shoppings;7199.0;273.0;R$ 0,3300;0,4783%;1,7207%;3,7499%;4,6367%;0,5736%;0,6250%;0,3864%;4,1998%;13,0984%;13,6393%;-5,2981%;R$ 82.455.279,5800;R$ 83,3438;8638.0;;;;;7,9600%;;1
105;XPLG11;Logística;9698.0;8303.0;R$ 0,6450;0,6772%;2,1114%;0,0000%;0,0000%;0,7038%;0,0000%;0,0000%;3,1461%;1,3945%;2,0811%;-1,7153%;R$ 351.315.525,3800;R$ 95,9577;10107.0;0,6253%;-0,1139%;0,5107%;3,5334%;;;3
106;OUCY11;Títulos e Val. Mob.;8660.0;459.0;R$ 0,6007;0,6986%;1,9046%;3,3890%;0,0000%;0,6349%;0,5648%;0,0000%;3,7068%;1,1171%;1,8236%;-10,7720%;R$ 51.617.149,0800;R$ 96,6765;8958.0;0,6214%;0,0599%;0,6817%;4,7083%;;;0
107;HBTT11;Outros;1.11928;20.0;R$ 8,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;14,4643%;R$ 126.668.392,3000;R$ 1.136,6392;9847.0;0,7038%;2,5231%;3,2446%;5,7879%;;;0
108;RBRR11;Títulos e Val. Mob.;10380.0;9250.0;R$ 0,8000;0,7729%;2,3236%;4,1903%;0,0000%;0,7745%;0,6984%;0,0000%;4,5730%;2,6888%;3,4825%;8,3258%;R$ 142.272.502,7800;R$ 96,1020;10801.0;0,8324%;-0,0760%;0,7559%;4,7487%;;;0
109;RDPD11;Títulos e Val. Mob.;8646.0;141.0;R$ 0,3600;0,4025%;1,1902%;2,6949%;0,0000%;0,3967%;0,4491%;0,0000%;2,6949%;-1,5952%;-1,1991%;-8,1125%;R$ 104.806.183,1600;R$ 97,2190;8893.0;0,3703%;-0,0431%;0,3270%;2,6188%;;;0
110;VTLT11;Logística;10046.0;297.0;R$ 0,6667;0,6626%;1,9698%;0,0000%;0,0000%;0,6566%;0,0000%;0,0000%;3,9618%;-1,3627%;-0,7092%;4,6624%;R$ 213.083.615,1300;R$ 100,7488;9971.0;0,6617%;0,0126%;0,6744%;4,1068%;;;0
111;HGRU11;Híbrido;10360.0;1697.0;R$ 0,6800;0,6700%;2,0165%;0,0000%;0,0000%;0,6722%;0,0000%;0,0000%;3,3142%;1,4797%;2,1596%;4,9088%;R$ 148.296.564,1600;R$ 98,8644;10479.0;0,6878%;0,0514%;0,7396%;4,8340%;0,0000%;0,0000%;1
112;VGIR11;Títulos e Val. Mob.;10000.0;157.0;R$ 0,7200;0,7200%;0,7200%;0,7200%;0,7200%;0,2400%;0,1200%;0,0600%;0,7200%;0,0197%;0,7200%;0,7200%;R$ 39.310.590,2700;R$ 97,8805;10217.0;0,7356%;-0,1061%;0,6287%;0,6287%;;;0
113;KNHY11;Títulos e Val. Mob.;10777.0;1551.0;R$ 0,5600;0,5209%;0,5209%;0,5209%;0,5209%;0,1736%;0,0868%;0,0434%;0,5209%;7,5000%;8,0600%;8,0600%;R$ 408.022.651,1900;R$ 102,0057;10565.0;0,5490%;-0,3710%;0,1760%;0,1760%;;;0
114;XPIN11;Outros;10999.0;1473.0;R$ 0,5900;0,5413%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,5413%;0,0000%;0,5413%;0,5413%;R$ 190.462.388,7900;R$ 115,3257;9537.0;0,5289%;0,0127%;0,5417%;0,5417%;;;0
115;TGAR11;Outros;12280.0;4489.0;R$ 1,0100;0,8215%;1,9728%;3,7081%;7,9183%;0,6576%;0,6180%;0,6599%;7,2347%;0,7539%;1,5816%;15,8129%;R$ 103.989.755,7500;R$ 131,1510;9363.0;0,4956%;7,8542%;8,3887%;8,3887%;;;0
116;ATSA11;Shoppings;9999.0;0.0;R$ 0,1500;0,1500%;0,2506%;0,5356%;1,2267%;0,0835%;0,0893%;0,1022%;1,1441%;-90,4771%;-90,4628%;-91,5717%;R$ 214.907.929,3800;R$ 125,2961;7980.0;0,1197%;-0,0896%;0,0300%;-89,8652%;22,7000%;;1
117;HMOC11;Shopping;19500.0;44.0;R$ 0,9200;0,5315%;1,9246%;3,6945%;7,4458%;0,6415%;0,6157%;0,6205%;4,7990%;3,8896%;4,4418%;-24,9743%;R$ 65.135.688,1100;R$ 170,5047;11437.0;;;;;4,1000%;;2
118;VOTS11;Títulos e Val. Mob.;8700.0;138.0;R$ 0,2000;0,2353%;0,8626%;0,0000%;0,0000%;0,2875%;0,0000%;0,0000%;1,2451%;-14,1414%;-13,9394%;-13,9368%;;;;;;;;;;0
