;Ativo;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
90;FCFL11;2.172;55.0;R$ 10,7122;0,4767%;1,4732%;3,0427%;6,6623%;0,4911%;0,5071%;0,5552%;0,4767%;0,0000%;0,4767%;0,4767%;R$ 258.938.396,9300;R$ 1.550,5293;14008;0,6909%;0,0000%;0,6909%;0,6909%;0,0000%;;1
91;THRA11;11300.0;3371.0;R$ 0,4202;0,3719%;1,1243%;2,3952%;4,4262%;0,3748%;0,3992%;0,3688%;0,7431%;0,0000%;0,3719%;0,7445%;R$ 125.952.583,1100;R$ 85,5233;13213;0,4905%;0,0000%;0,4905%;0,4905%;0,0000%;;1
92;CEOC11;9100.0;2078.0;R$ 0,5298;0,5873%;1,7570%;3,1202%;3,1202%;0,5857%;0,5200%;0,2600%;1,1757%;0,2222%;0,8109%;1,4040%;R$ 146.938.179,0000;R$ 80,9266;11245;0,6543%;0,0000%;0,6543%;0,6543%;0,0000%;;1
93;GGRC11;12851.0;28692.0;R$ 0,7400;0,5728%;1,7455%;3,7951%;0,0000%;0,5818%;0,6325%;0,0000%;1,1003%;-2,6451%;-2,0874%;-1,5709%;R$ 425.340.587,9800;R$ 110,5864;11621;0,6330%;0,0000%;0,6330%;0,6330%;0,0000%;0,0000%;5
94;OUJP11;10170.0;733.0;R$ 0,7000;0,6797%;2,0436%;4,1818%;7,4490%;0,6812%;0,6970%;0,6207%;1,3388%;-3,0226%;-2,3635%;-1,7199%;R$ 73.021.855,2300;R$ 101,4192;10028;0,6902%;0,0000%;0,6902%;0,6902%;;;0
95;HCRI11;34900.0;0.0;R$ 2,2954;0,7013%;1,9816%;3,9410%;8,5681%;0,6605%;0,6568%;0,7140%;0,7013%;0,0000%;0,7013%;0,7013%;R$ 62.914.440,1300;R$ 314,5722;11094;0,7297%;0,0000%;0,7297%;0,7297%;0,0000%;;1
96;RBRF11;9700.0;1532.0;R$ 0,6500;0,6736%;1,4166%;0,0000%;0,0000%;0,4722%;0,0000%;0,0000%;0,6736%;0,0000%;0,6736%;0,6736%;R$ 80.261.405,2600;R$ 99,0891;9789;0,6560%;0,0000%;0,6560%;0,6560%;;;0
97;VISC11;11070.0;16043.0;R$ 0,6100;0,5471%;1,6880%;0,0000%;0,0000%;0,5627%;0,0000%;0,0000%;1,1015%;1,3452%;1,8997%;2,4646%;R$ 316.440.702,9400;R$ 98,4253;11247;0,6198%;0,0000%;0,6198%;0,6198%;4,2000%;;7
98;XPML11;10150.0;0.0;R$ 0,5124;0,4909%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,4909%;0,0000%;0,4909%;0,4909%;R$ 243.850.178,6300;R$ 95,8462;10590;0,5346%;0,0000%;0,5346%;0,5346%;;;0
99;BCFF11;8300.0;0.0;R$ 0,4950;0,5915%;1,8353%;3,7890%;8,1458%;0,6118%;0,6315%;0,6788%;1,1951%;2,0610%;2,6646%;3,2844%;R$ 533.358.900,2500;R$ 89,6498;9258;0,5521%;0,0000%;0,5521%;0,5521%;;;0
100;MALL11;10209.0;0.0;R$ 0,5000;0,4812%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,9514%;0,0963%;0,5780%;1,0509%;R$ 178.856.899,6600;R$ 96,1527;10617;0,5076%;0,0000%;0,5076%;0,5076%;0,1000%;;0
101;BZLI11;1326.0;0.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;R$ 204.997.663,7600;R$ 12,4889;10617;;;;;;;0
102;ALZR11;10135.0;0.0;R$ 0,3521;0,3401%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,3401%;0,0000%;0,3401%;0,3401%;R$ 95.185.638,6300;R$ 95,4680;10616;0,3688%;0,0000%;0,3688%;0,3688%;;;2
