;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
47;FPAB11;Lajes Corporativas;36399.0;85.0;R$ 1,7000;0,5135%;1,4939%;5,2946%;8,4433%;0,4980%;0,8824%;0,7036%;8,4433%;-2,3423%;-1,8408%;1,4165%;R$ 260.461.506,22;R$ 347,28;10481.0;0,4895%;-0,0480%;0,4413%;8,6527%;24,72%;;1
48;FVBI11;Lajes Corporativas;12340.0;0.0;R$ 0,3887;0,3122%;1,0061%;2,2761%;4,6721%;0,3354%;0,3794%;0,3893%;4,3175%;11,6592%;12,0078%;26,8114%;R$ 202.389.206,32;R$ 94,13;13109.0;0,4129%;0,0067%;0,4196%;24,1509%;20,90%;;1
49;FVPQ11;Shoppings;19000.0;914.0;R$ 1,3300;0,6714%;1,8367%;3,1637%;5,7567%;0,6122%;0,5273%;0,4797%;5,7567%;-9,9545%;-9,3500%;10,3666%;R$ 513.784.122,81;R$ 187,67;10124.0;0,7194%;3,6744%;4,4202%;10,2301%;;;1
50;GGRC11;Logística;13492.0;16051.0;R$ 1,0800;0,7905%;2,4693%;4,6042%;8,0278%;0,8231%;0,7674%;0,6690%;8,0278%;5,9727%;6,8104%;11,5291%;R$ 456.699.993,57;R$ 118,74;11363.0;0,9096%;-0,2371%;0,6703%;16,0847%;0,00%;;13
51;GRLV11;Logística;9875.0;1592.0;R$ 0,6700;0,6823%;2,1255%;4,1988%;7,7199%;0,7085%;0,6998%;0,6433%;7,7199%;-1,8000%;-1,1300%;-12,7108%;R$ 126.807.627,40;R$ 118,12;8360.0;0,5672%;0,1122%;0,6800%;7,2747%;7,28%;;1
52;HBTT11;Outros;1.1195;21.0;R$ 6,1500;0,5494%;1,2640%;0,0000%;0,0000%;0,4213%;0,0000%;0,0000%;2,7787%;0,0000%;0,5494%;15,0931%;R$ 128.629.909,16;R$ 1.145,15;9776.0;0,6986%;0,7489%;1,4528%;7,3248%;;;0
53;HCRI11;Hospital;30276.0;0.0;R$ 2,6002;0,8588%;2,2376%;4,4511%;8,4378%;0,7459%;0,7418%;0,7032%;8,4378%;-3,5827%;-2,7546%;0,6161%;R$ 62.899.009,41;R$ 314,50;9627.0;0,5641%;0,0005%;0,5646%;8,1772%;0,00%;;1
54;HFOF11;Títulos e Val. Mob.;9540.0;5557.0;R$ 0,5400;0,5838%;1,8021%;3,6198%;6,0488%;0,6007%;0,6033%;0,5041%;6,0488%;3,6996%;4,3049%;-1,7530%;R$ 220.418.323,79;R$ 93,21;10235.0;0,5794%;2,8948%;3,4909%;-3,2691%;;;0
55;HGBS11;Shoppings;24275.0;5814.0;R$ 1,5200;0,6387%;1,7874%;3,5142%;6,6161%;0,5958%;0,5857%;0,5513%;6,6161%;7,5220%;8,2087%;8,4147%;R$ 1.192.718.125,76;R$ 221,90;10939.0;0,6084%;-0,0187%;0,5896%;2,6144%;7,00%;;8
56;HGCR11;Títulos e Val. Mob.;11500.0;7201.0;R$ 0,9700;0,8427%;2,2301%;4,3624%;8,8707%;0,7434%;0,7271%;0,7392%;8,8707%;3,5817%;4,4546%;23,2698%;R$ 270.925.720,00;R$ 104,34;11021.0;0,7379%;-0,0221%;0,7157%;11,2176%;;;0
