;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
97;MAXR11;Outros;R$ 2.000,63;32.0;R$ 12,50;0,65%;2,62%;3,89%;7,30%;0,87%;0,65%;0,61%;4,49%;-1,13%;-0,49%;-14,46%;R$ 132.361.009,84;R$ 2.234,13;90.0;;;;;0,00%;;8
98;MBRF11;Outros;R$ 1.286,90;22.0;R$ 9,00;0,71%;2,12%;4,22%;8,34%;0,71%;0,70%;0,69%;6,36%;0,32%;1,03%;3,62%;R$ 130.736.858,59;R$ 1.285,97;100.0;0,70%;0,02%;0,72%;6,63%;0,00%;;2
99;MCCI11;Títulos e Val. Mob.;R$ 102,99;17361.0;R$ 0,60;0,58%;1,76%;3,63%;6,36%;0,59%;0,60%;0,53%;5,60%;0,39%;0,97%;5,48%;R$ 713.499.739,68;R$ 98,60;104.0;;;;;;;0
100;MFAI11;Híbrido;R$ 115,85;246.0;R$ 0,59;0,48%;4,43%;0,00%;0,00%;1,48%;0,00%;0,00%;4,43%;-0,13%;0,35%;12,83%;R$ 9.304.420,72;R$ 97,95;118.0;0,60%;1,71%;2,32%;4,04%;;;0
101;MFII11;Híbrido;R$ 130,49;4808.0;R$ 1,01;0,78%;2,34%;4,81%;9,67%;0,78%;0,80%;0,81%;7,33%;2,57%;3,37%;1,74%;R$ 286.659.408,30;R$ 114,54;114.0;0,88%;-1,24%;-0,37%;3,77%;;;9
102;MGFF11;Títulos e Val. Mob.;R$ 88,31;19215.0;R$ 0,50;0,56%;1,67%;3,60%;7,46%;0,56%;0,60%;0,62%;5,57%;-5,97%;-5,45%;-17,46%;R$ 786.413.588,97;R$ 86,89;102.0;;;;;;;0
103;MGHT11;Hotel;R$ 95,00;1452.0;R$ 0,60;0,60%;1,80%;3,21%;0,00%;0,60%;0,53%;0,00%;3,21%;-0,30%;0,30%;2,94%;R$ 82.886.396,29;R$ 99,48;95.0;;;;;;;0
104;MORE11;Títulos e Val. Mob.;R$ 111,25;1173.0;R$ 0,90;0,81%;2,44%;0,00%;0,00%;0,81%;0,00%;0,00%;3,33%;4,65%;5,49%;13,00%;R$ 58.329.565,16;R$ 99,91;111.0;;;;;;;0
105;MXRF11;Híbrido;R$ 10,65;775617.0;R$ 0,07;0,64%;1,94%;3,91%;8,70%;0,65%;0,65%;0,72%;6,19%;2,25%;2,91%;-0,65%;R$ 1.835.951.703,52;R$ 10,06;106.0;;;;;;;0
106;NCHB11;Títulos e Val. Mob.;R$ 94,00;362.0;R$ 0,32;0,34%;0,34%;0,34%;0,00%;0,11%;0,06%;0,00%;0,34%;0,00%;0,34%;0,34%;R$ 51.470.942,11;R$ 90,13;104.0;;;;;;;0
107;NEWL11;Híbrido;R$ 102,94;405.0;R$ 0,70;0,69%;2,09%;2,39%;0,00%;0,70%;0,40%;0,00%;4,18%;0,48%;1,17%;-13,90%;R$ 97.504.269,79;R$ 113,93;90.0;0,61%;0,06%;0,67%;5,33%;0,00%;;1
108;NEWU11;Lajes Corporativas;R$ 45,64;12.0;R$ 0,00;0,00%;0,00%;0,56%;16,63%;0,00%;0,09%;1,39%;0,61%;-4,04%;-4,04%;-31,62%;R$ 51.302.215,38;R$ 69,14;66.0;;;;;48,30%;;3
109;NSLU11;Hospital;R$ 280,00;1228.0;R$ 1,81;0,66%;2,70%;5,51%;9,66%;0,90%;0,92%;0,80%;6,98%;-1,97%;-1,32%;18,38%;R$ 218.371.245,63;R$ 190,75;147.0;;;;;0,00%;;1
110;NVHO11;Hospital;R$ 12,19;3343.0;R$ 0,06;0,49%;1,38%;2,85%;5,69%;0,46%;0,47%;0,47%;4,33%;-6,20%;-5,75%;0,46%;R$ 325.699.354,68;R$ 7,85;155.0;0,79%;0,01%;0,80%;15,66%;;;1
111;NVIF11B;Outros;;;R$ 0,89;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 59.794.665,19;R$ 177,22;;0,50%;-4,12%;-3,64%;-1,17%;;;0
112;ONEF11;Lajes Corporativas;R$ 146,02;187.0;R$ 0,63;0,42%;1,28%;2,54%;4,80%;0,43%;0,42%;0,40%;3,73%;0,09%;0,51%;-6,87%;R$ 140.712.001,53;R$ 154,46;95.0;0,41%;0,03%;0,43%;3,83%;10,30%;;1
113;OUCY11;Títulos e Val. Mob.;R$ 81,48;4532.0;R$ 0,55;0,67%;1,98%;3,91%;7,57%;0,66%;0,65%;0,63%;5,83%;-1,30%;-0,64%;-15,49%;R$ 81.732.055,43;R$ 98,25;83.0;0,56%;0,11%;0,67%;3,02%;;;0
114;OUFF11;Títulos e Val. Mob.;R$ 84,00;1201.0;R$ 0,45;0,53%;1,46%;3,90%;7,81%;0,49%;0,65%;0,65%;6,10%;-0,51%;0,01%;-14,46%;R$ 162.516.991,56;R$ 89,57;94.0;0,50%;0,90%;1,41%;-12,48%;;;0
115;OUJP11;Títulos e Val. Mob.;R$ 102,36;6528.0;R$ 0,44;0,43%;1,35%;3,16%;7,00%;0,45%;0,53%;0,58%;5,19%;-3,09%;-2,68%;-6,52%;R$ 232.844.300,11;R$ 101,96;100.0;0,43%;0,51%;0,94%;4,49%;;;0
116;OULG11;Outros;R$ 90,69;4070.0;R$ 0,61;0,67%;1,96%;3,95%;7,74%;0,65%;0,66%;0,64%;5,60%;-2,49%;-1,84%;-10,32%;R$ 239.250.951,08;R$ 96,42;94.0;0,63%;-0,11%;0,52%;5,86%;0,00%;;2
117;PABY11;Híbrido;R$ 16,08;10.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-19,84%;-19,84%;-31,62%;R$ -3.426.710,45;R$ -4,52;-356.0;;;;;;;1
118;PATC11;Lajes Corporativas;R$ 87,62;12558.0;R$ 0,29;0,33%;0,96%;1,84%;3,84%;0,32%;0,31%;0,32%;2,85%;0,60%;0,94%;-15,58%;R$ 346.525.999,30;R$ 99,65;88.0;0,29%;0,33%;0,63%;5,60%;0,00%;;5
119;PATL11;Híbrido;R$ 96,60;28182.0;R$ 0,49;0,51%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,51%;0,00%;0,51%;0,51%;R$ 483.581.514,93;R$ 96,88;100.0;0,51%;0,60%;1,11%;-2,55%;7,00%;0,00%;2
120;PLCR11;Híbrido;R$ 84,26;2227.0;R$ 0,46;0,55%;1,46%;2,44%;0,00%;0,49%;0,41%;0,00%;3,40%;1,84%;2,40%;-11,25%;R$ 203.636.820,52;R$ 96,55;87.0;0,48%;0,34%;0,82%;2,70%;;;0
121;PLRI11;Títulos e Val. Mob.;R$ 41,27;494.0;R$ 0,22;0,52%;1,51%;3,21%;5,27%;0,50%;0,54%;0,44%;4,20%;-6,34%;-5,85%;-23,28%;R$ 56.061.652,04;R$ 58,75;70.0;0,37%;-0,19%;0,18%;-13,07%;;;0
122;PORD11;Títulos e Val. Mob.;R$ 99,99;4588.0;R$ 0,82;0,82%;2,21%;4,27%;13,33%;0,74%;0,71%;1,11%;6,69%;-0,60%;0,22%;-0,30%;R$ 199.109.882,97;R$ 100,93;99.0;0,81%;0,42%;1,23%;2,81%;;;0
123;PQAG11;Logística;R$ 652,02;7096.0;R$ 3,46;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 775.447.887,65;R$ 554,21;118.0;;;;;;;1
124;PQDP11;Shoppings;R$ 3.149,92;6.0;R$ 14,47;0,53%;1,32%;2,64%;5,39%;0,44%;0,44%;0,45%;1,11%;-18,15%;-17,72%;-17,25%;R$ 830.149.215,36;R$ 3.481,05;90.0;;;;;4,20%;;1
125;PRSV11;Lajes Corporativas;R$ 390,00;396.0;R$ 1,62;0,42%;1,53%;2,91%;5,95%;0,51%;0,48%;0,50%;4,46%;5,30%;5,74%;-11,25%;R$ 71.024.775,31;R$ 364,23;107.0;0,44%;-0,03%;0,41%;-3,81%;21,59%;;2
126;PVBI11;Lajes Corporativas;R$ 99,83;25230.0;R$ 0,45;0,45%;0,45%;0,45%;0,45%;0,15%;0,08%;0,04%;0,45%;-0,41%;0,04%;0,04%;R$ 938.886.911,97;R$ 96,59;103.0;;;;;0,00%;0,00%;2
127;QAGR11;Outros;R$ 85,99;21137.0;R$ 0,36;0,43%;1,21%;2,19%;0,00%;0,40%;0,36%;0,00%;2,54%;0,58%;1,02%;-11,12%;R$ 485.746.940,49;R$ 96,38;89.0;;;;;;;12
128;QMFF11;Títulos e Val. Mob.;R$ 99,97;18.0;R$ 0,75;0,75%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,75%;0,00%;0,75%;0,75%;R$ 15.202.067,16;R$ 101,35;99.0;0,74%;-0,46%;0,28%;2,72%;;;0
129;RBBV11;Títulos e Val. Mob.;R$ 91,39;564.0;R$ 0,32;0,35%;0,63%;1,21%;4,01%;0,21%;0,20%;0,33%;2,88%;1,79%;2,15%;0,06%;R$ 125.714.403,01;R$ 100,24;91.0;0,32%;0,06%;0,38%;1,82%;;;1
130;RBCB11;Outros;R$ 19,00;161.0;R$ 0,00;0,00%;0,29%;4,38%;14,62%;0,10%;0,73%;1,22%;4,38%;-71,35%;-71,35%;-75,16%;R$ 40.071,39;R$ 0,75;2518.0;;;;;;;0
131;RBCO11;Lajes Corporativas;R$ 86,00;15423.0;R$ 0,55;0,63%;1,51%;2,93%;6,92%;0,50%;0,49%;0,58%;5,46%;3,57%;4,23%;-36,28%;R$ 387.475.287,90;R$ 102,53;84.0;0,54%;0,02%;0,56%;-3,12%;28,00%;15,00%;3
132;RBDS11;Residencial;R$ 29,38;44.0;R$ 0,62;0,38%;3,38%;6,82%;17,81%;1,13%;1,14%;1,48%;13,35%;-21,63%;-21,33%;-29,55%;R$ 4.444.213,75;R$ 35,13;84.0;;;;;;;0
133;RBED11;Outros;R$ 162,00;1624.0;R$ 1,00;0,61%;1,80%;3,69%;7,03%;0,60%;0,61%;0,59%;5,50%;-3,19%;-2,60%;-3,37%;R$ 267.460.274,17;R$ 149,65;108.0;0,67%;0,03%;0,70%;6,13%;0,00%;;5
134;RBFF11;Títulos e Val. Mob.;R$ 73,71;12261.0;R$ 0,55;0,75%;2,28%;3,76%;10,03%;0,76%;0,63%;0,84%;5,75%;2,52%;3,28%;-17,16%;R$ 213.227.180,28;R$ 77,89;95.0;0,71%;-0,50%;0,21%;-22,64%;;;0
135;RBGS11;Shoppings;R$ 39,43;2264.0;R$ 0,05;0,12%;0,12%;1,54%;4,60%;0,04%;0,26%;0,38%;1,54%;5,30%;5,43%;-35,50%;R$ 93.898.788,32;R$ 87,10;45.0;;;;;13,50%;;1
136;RBIV11;Títulos e Val. Mob.;R$ 84,50;2392.0;R$ 0,54;0,65%;1,84%;3,26%;0,00%;0,61%;0,54%;0,00%;4,23%;1,30%;1,95%;-12,85%;R$ 100.110.398,40;R$ 97,73;86.0;54,00%;-98,98%;-98,43%;-98,42%;;;0
137;RBRD11;Híbrido;R$ 70,80;2555.0;R$ 0,06;0,09%;0,20%;16,92%;23,41%;0,07%;2,82%;1,95%;19,26%;-1,43%;-1,35%;-20,11%;R$ 150.044.814,75;R$ 81,03;87.0;0,07%;0,01%;0,08%;26,11%;0,00%;;4
138;RBRF11;Títulos e Val. Mob.;R$ 97,85;30361.0;R$ 0,75;0,77%;1,79%;3,58%;7,24%;0,60%;0,60%;0,60%;5,36%;-0,32%;0,45%;-18,37%;R$ 856.813.928,94;R$ 93,23;105.0;;;;;;;0
139;RBRL11;Logística;R$ 111,90;1672.0;R$ 0,56;0,49%;1,99%;3,81%;0,00%;0,66%;0,64%;0,00%;4,09%;-1,54%;-1,06%;17,68%;R$ 329.745.621,22;R$ 102,68;109.0;0,54%;0,55%;1,10%;5,10%;0,00%;0,00%;5
140;RBRP11;Outros;R$ 93,42;34384.0;R$ 0,58;0,61%;1,84%;3,37%;5,80%;0,61%;0,56%;0,48%;4,96%;4,13%;4,77%;8,89%;R$ 734.457.632,75;R$ 85,87;109.0;0,68%;-0,52%;0,15%;6,12%;9,00%;11,00%;12
141;RBRR11;Títulos e Val. Mob.;R$ 99,53;14591.0;R$ 0,50;0,49%;1,51%;3,18%;6,49%;0,50%;0,53%;0,54%;4,91%;1,64%;2,14%;0,00%;R$ 745.964.781,31;R$ 97,62;102.0;;;;;;;0
142;RBRY11;Títulos e Val. Mob.;R$ 104,00;1103.0;R$ 0,60;0,58%;1,77%;3,73%;7,57%;0,59%;0,62%;0,63%;5,77%;0,68%;1,26%;-2,79%;R$ 204.601.317,18;R$ 104,65;99.0;;;;;;;0
143;RBVA11;Outros;R$ 122,75;9862.0;R$ 0,85;0,71%;2,10%;4,03%;7,98%;0,70%;0,67%;0,66%;5,88%;2,53%;3,26%;-15,81%;R$ 1.235.725.657,11;R$ 115,55;106.0;;;;;0,90%;;72
144;RBVO11;Outros;R$ 23,79;1855.0;R$ 0,12;0,57%;1,74%;2,91%;5,79%;0,58%;0,49%;0,48%;4,20%;4,85%;5,46%;-27,78%;R$ 15.612.607,33;R$ 30,27;79.0;;;;;;;0
145;RCRB11;Lajes Corporativas;R$ 173,80;6970.0;R$ 0,85;0,48%;1,46%;3,23%;5,38%;0,49%;0,54%;0,45%;4,25%;4,75%;5,25%;-37,55%;R$ 587.687.036,44;R$ 197,43;88.0;0,43%;-0,11%;0,32%;3,54%;0,00%;;10
146;RDPD11;Títulos e Val. Mob.;R$ 80,78;200.0;R$ 0,31;0,37%;1,12%;2,69%;5,49%;0,37%;0,45%;0,46%;4,12%;1,99%;2,37%;-0,58%;R$ 105.248.835,27;R$ 97,63;83.0;0,32%;0,18%;0,50%;3,68%;;;0
147;RECR11;Títulos e Val. Mob.;R$ 99,90;49424.0;R$ 1,31;1,35%;2,91%;5,06%;9,59%;0,97%;0,84%;0,80%;7,82%;-6,97%;-5,72%;-2,02%;R$ 705.352.609,71;R$ 97,29;103.0;1,35%;-0,04%;1,30%;8,62%;;;0
148;RECT11;Híbrido;R$ 96,02;32045.0;R$ 0,72;0,74%;2,30%;4,82%;10,19%;0,77%;0,80%;0,85%;7,26%;-2,26%;-1,54%;1,06%;R$ 670.956.189,46;R$ 96,21;100.0;0,75%;0,01%;0,75%;3,93%;10,60%;;7
149;RFOF11;Títulos e Val. Mob.;R$ 86,00;2426.0;R$ 0,50;0,60%;1,46%;0,00%;0,00%;0,49%;0,00%;0,00%;2,38%;4,11%;4,74%;3,65%;R$ 102.643.074,98;R$ 95,20;90.0;0,53%;-0,17%;0,36%;-0,15%;;;0
150;RNDP11;Títulos e Val. Mob.;R$ 795,00;22.0;R$ 3,12;0,38%;1,06%;2,21%;4,91%;0,35%;0,37%;0,41%;3,39%;-10,33%;-9,99%;-15,04%;R$ 116.541.055,88;R$ 1.084,29;73.0;0,29%;0,09%;0,38%;2,80%;;;0
151;RNGO11;Lajes Corporativas;R$ 71,09;4714.0;R$ 0,42;0,58%;1,76%;3,56%;6,61%;0,59%;0,59%;0,55%;5,07%;-0,72%;-0,14%;-28,27%;R$ 274.569.615,68;R$ 102,60;69.0;;;;;20,30%;;3
152;RVBI11;Títulos e Val. Mob.;R$ 92,09;4553.0;R$ 0,60;0,65%;1,97%;3,30%;0,00%;0,66%;0,55%;0,00%;3,61%;5,08%;5,76%;-3,59%;R$ 136.915.191,06;R$ 95,08;97.0;0,63%;0,11%;0,75%;2,04%;;;0
153;SADI11;Títulos e Val. Mob.;R$ 82,31;3130.0;R$ 0,18;0,21%;0,79%;1,77%;3,94%;0,26%;0,30%;0,33%;2,94%;1,21%;1,42%;-12,26%;R$ 319.347.900,59;R$ 100,42;82.0;0,17%;0,00%;0,17%;2,52%;;;0
154;SARE11;Híbrido;R$ 96,14;3680.0;R$ 0,19;0,18%;0,72%;1,63%;0,00%;0,24%;0,27%;0,00%;2,39%;-0,71%;-0,52%;-3,98%;R$ 359.781.153,50;R$ 99,94;96.0;0,19%;-0,17%;0,02%;1,81%;0,00%;;2
155;SCPF11;Shoppings;R$ 9,09;1025.0;R$ 0,01;0,17%;0,17%;1,24%;4,79%;0,06%;0,21%;0,40%;2,03%;-2,20%;-2,04%;-38,60%;R$ 48.280.625,78;R$ 11,50;79.0;0,13%;0,03%;0,16%;1,86%;26,10%;;1
156;SDIL11;Logística;R$ 100,80;13322.0;R$ 0,55;0,54%;1,56%;2,91%;5,60%;0,52%;0,48%;0,47%;4,28%;-1,32%;-0,78%;-11,23%;R$ 456.688.784,76;R$ 95,74;105.0;0,57%;0,01%;0,58%;5,22%;6,10%;;3
157;SHPH11;Shoppings;R$ 887,00;61.0;R$ 1,08;0,12%;0,54%;0,84%;2,89%;0,18%;0,14%;0,24%;1,75%;-2,58%;-2,46%;-10,01%;R$ 477.902.978,19;R$ 784,80;113.0;0,24%;-0,05%;0,19%;0,89%;8,40%;;1
158;SPTW11;Lajes Corporativas;R$ 90,19;3451.0;R$ 0,75;0,82%;2,73%;4,99%;10,45%;0,91%;0,83%;0,87%;7,78%;10,30%;11,20%;13,02%;R$ 136.295.653,07;R$ 75,80;119.0;;;;;0,00%;;1
159;SPVJ11;Outros;;;R$ 0,69;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 369.653.421,15;R$ 99,91;;;;;;;;0
160;TEPP11;Lajes Corporativas;R$ 88,68;7438.0;R$ 0,50;0,55%;1,67%;3,32%;0,00%;0,56%;0,55%;0,00%;4,94%;-2,68%;-2,15%;-11,78%;R$ 348.493.269,08;R$ 96,35;92.0;0,52%;-0,08%;0,44%;4,53%;22,00%;;3
161;TGAR11;Outros;R$ 134,89;30511.0;R$ 1,00;0,76%;2,45%;5,21%;9,22%;0,82%;0,87%;0,77%;6,88%;-2,04%;-1,30%;1,33%;R$ 733.988.273,60;R$ 124,62;108.0;0,80%;-1,68%;-0,89%;-0,23%;;;0
162;THRA11;Lajes Corporativas;R$ 133,50;1050.0;R$ 0,77;0,57%;1,16%;2,66%;5,25%;0,39%;0,44%;0,44%;3,92%;-1,09%;-0,53%;-6,43%;R$ 174.788.281,52;R$ 118,68;112.0;;;;;9,81%;;1
163;TORD11;Outros;R$ 10,70;42678.0;R$ 0,09;0,88%;2,66%;0,00%;0,00%;0,89%;0,00%;0,00%;5,58%;0,94%;1,83%;12,65%;R$ 37.636.568,64;R$ 9,99;107.0;0,94%;0,41%;1,35%;8,19%;;;0
164;TRNT11;Lajes Corporativas;R$ 183,10;1164.0;R$ 0,68;0,36%;0,82%;1,69%;3,47%;0,27%;0,28%;0,29%;2,35%;1,08%;1,45%;-20,23%;R$ 874.522.117,40;R$ 222,21;82.0;;;;;39,40%;;1
165;TRXF11;Outros;R$ 99,99;12305.0;R$ 0,45;0,45%;1,41%;3,48%;0,00%;0,47%;0,58%;0,00%;5,33%;-0,69%;-0,25%;-8,36%;R$ 459.624.925,54;R$ 100,27;100.0;0,45%;3,25%;3,71%;5,72%;0,00%;;32
166;URPR11;Outros;R$ 111,13;4244.0;R$ 2,15;1,94%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,16%;0,00%;1,94%;3,18%;R$ 30.890.840,68;R$ 101,37;110.0;;;;;;;0
167;VCJR11;Títulos e Val. Mob.;R$ 102,25;4143.0;R$ 0,70;0,69%;1,63%;2,94%;0,00%;0,54%;0,49%;0,00%;3,95%;0,75%;1,44%;-2,39%;R$ 581.172.914,80;R$ 100,01;102.0;0,70%;-1,25%;-0,56%;3,36%;;;0
168;VGIP11;Outros;R$ 99,86;3618.0;R$ 0,85;0,85%;2,31%;4,91%;0,00%;0,77%;0,82%;0,00%;4,91%;0,04%;0,89%;20,38%;R$ 159.134.895,26;R$ 95,91;104.0;;;;;;;0
169;VGIR11;Títulos e Val. Mob.;R$ 88,29;6027.0;R$ 0,45;0,51%;1,54%;3,20%;6,80%;0,51%;0,53%;0,57%;5,00%;4,78%;5,32%;-13,17%;R$ 436.334.709,45;R$ 96,83;91.0;;;;;;;0
170;VIFI11;Títulos e Val. Mob.;R$ 96,89;9312.0;R$ 0,65;0,67%;2,03%;0,00%;0,00%;0,68%;0,00%;0,00%;2,68%;-1,97%;-1,31%;-0,89%;R$ 285.649.919,54;R$ 101,57;95.0;0,64%;0,40%;1,04%;3,57%;;;0
171;VILG11;Logística;R$ 132,00;44743.0;R$ 0,50;0,38%;1,35%;2,72%;5,82%;0,45%;0,45%;0,49%;4,29%;4,09%;4,49%;-0,04%;R$ 1.213.001.385,91;R$ 112,72;117.0;0,44%;-0,17%;0,27%;7,80%;0,00%;;10
172;VINO11;Lajes Corporativas;R$ 60,58;37209.0;R$ 0,35;0,59%;1,81%;3,89%;0,00%;0,60%;0,65%;0,00%;5,68%;1,71%;2,31%;-5,91%;R$ 601.321.700,32;R$ 60,48;100.0;0,58%;-0,07%;0,51%;4,04%;4,90%;;8
173;VISC11;Shoppings;R$ 117,00;28565.0;R$ 0,20;0,18%;0,49%;1,18%;3,94%;0,16%;0,20%;0,33%;2,45%;0,60%;0,78%;-18,00%;R$ 1.656.388.112,89;R$ 116,07;101.0;0,17%;-4,49%;-4,32%;-2,37%;7,20%;;15
174;VLOL11;Lajes Corporativas;R$ 105,09;4243.0;R$ 0,47;0,45%;1,37%;2,66%;5,10%;0,46%;0,44%;0,43%;3,86%;1,93%;2,39%;-7,53%;R$ 161.877.195,20;R$ 90,70;116.0;0,52%;0,03%;0,54%;4,73%;8,00%;;1
175;VOTS11;Títulos e Val. Mob.;R$ 82,99;2.0;R$ 0,31;0,38%;1,15%;2,37%;5,38%;0,38%;0,39%;0,45%;3,73%;-1,04%;-0,66%;-12,26%;R$ 80.900.767,19;R$ 97,72;85.0;0,32%;0,16%;0,48%;3,49%;;;0
176;VRTA11;Títulos e Val. Mob.;R$ 104,90;44549.0;R$ 0,61;0,59%;1,62%;3,78%;7,32%;0,54%;0,63%;0,61%;5,72%;-0,71%;-0,13%;-16,39%;R$ 1.020.479.932,40;R$ 102,05;103.0;0,60%;-0,45%;0,15%;2,08%;;;0
177;VSHO11;Shoppings;R$ 86,60;105.0;R$ 0,00;0,00%;1,18%;2,88%;6,51%;0,39%;0,48%;0,54%;1,18%;-26,13%;-26,13%;-27,82%;R$ 206.641.745,14;R$ 98,46;88.0;;;;;5,67%;;3
178;VTLT11;Logística;R$ 118,80;3115.0;R$ 0,72;0,61%;1,88%;3,27%;7,02%;0,63%;0,54%;0,59%;5,16%;4,39%;5,02%;7,07%;R$ 214.943.468,92;R$ 101,63;117.0;0,71%;0,00%;0,71%;6,70%;0,00%;0,00%;1
179;VVPR11;Híbrido;R$ 100,30;105.0;R$ 0,54;0,55%;1,55%;3,37%;0,00%;0,52%;0,56%;0,00%;4,76%;-3,22%;-2,69%;-3,35%;R$ 195.744.326,62;R$ 103,44;97.0;;;;;0,00%;;4
180;WPLZ11;Shoppings;R$ 79,30;257.0;R$ 0,05;0,06%;0,37%;2,13%;5,05%;0,12%;0,35%;0,42%;2,13%;-0,67%;-0,60%;-24,23%;R$ 95.201.725,84;R$ 93,27;85.0;;;;;7,80%;;1
181;WTSP11B;Híbrido;R$ 53,50;26.0;R$ 0,13;0,25%;0,79%;1,95%;4,86%;0,26%;0,33%;0,41%;3,47%;-4,01%;-3,77%;-24,26%;R$ 90.448.804,11;R$ 91,13;59.0;0,14%;0,00%;0,15%;1,94%;;;0
182;XPCI11;Outros;R$ 90,28;30536.0;R$ 0,58;0,66%;2,03%;3,94%;0,00%;0,68%;0,66%;0,00%;5,94%;1,51%;2,17%;-10,27%;R$ 641.008.958,07;R$ 97,61;92.0;0,59%;0,49%;1,09%;5,75%;;;0
183;XPCM11;Lajes Corporativas;R$ 60,87;17723.0;R$ 0,97;1,63%;4,93%;9,12%;17,15%;1,64%;1,52%;1,43%;13,72%;2,72%;4,40%;6,11%;R$ 147.619.110,23;R$ 61,14;100.0;1,59%;-0,80%;0,77%;12,58%;0,00%;;1
184;XPHT11;Hotel;R$ 93,00;1017.0;R$ 0,34;0,40%;1,05%;2,23%;0,00%;0,35%;0,37%;0,00%;1,05%;-18,27%;-17,94%;-16,89%;R$ 473.083.780,55;R$ 125,07;74.0;;;;;92,70%;;5
185;XPIN11;Outros;R$ 116,00;13620.0;R$ 0,62;0,53%;1,61%;3,18%;6,38%;0,54%;0,53%;0,53%;4,96%;0,99%;1,53%;-6,51%;R$ 730.494.415,38;R$ 110,91;105.0;0,56%;-0,04%;0,52%;2,71%;8,90%;;5
186;XPLG11;Logística;R$ 135,00;44634.0;R$ 0,58;0,43%;1,35%;2,74%;5,75%;0,45%;0,46%;0,48%;4,25%;6,45%;6,91%;3,94%;R$ 2.274.470.046,90;R$ 109,57;123.0;0,53%;-0,18%;0,35%;5,09%;10,00%;4,00%;13
187;XPML11;Shoppings;R$ 114,12;49744.0;R$ 0,26;0,24%;0,43%;1,09%;2,73%;0,14%;0,18%;0,23%;1,45%;0,51%;0,75%;-19,95%;R$ 2.029.879.814,91;R$ 111,48;102.0;;;;;4,80%;;13
188;XPPR11;Outros;R$ 88,59;9989.0;R$ 0,74;0,88%;2,44%;5,06%;0,00%;0,81%;0,84%;0,00%;6,67%;-10,05%;-9,25%;-16,89%;R$ 420.852.561,33;R$ 97,42;91.0;0,76%;-0,29%;0,47%;7,80%;16,00%;;4
189;XPSF11;Outros;R$ 96,49;31629.0;R$ 0,70;0,73%;2,17%;4,47%;0,00%;0,72%;0,75%;0,00%;5,98%;-1,62%;-0,91%;4,17%;R$ 337.980.732,75;R$ 100,89;96.0;0,69%;0,51%;1,21%;4,84%;;;0
190;XTED11;Lajes Corporativas;R$ 7,29;1077.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;1,10%;-37,83%;R$ 26.024.375,31;R$ 14,52;50.0;;;;;100,00%;100,00%;1
