;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
10;BCFF11;Títulos e Val. Mob.;8450.0;16001.0;R$ 0,5300;0,6272%;1,9841%;3,9898%;7,6467%;0,6614%;0,6650%;0,6372%;0,6272%;0,0000%;0,6272%;0,6272%;R$ 504.787.026,15;R$ 84,85;9959.0;0,6836%;-0,0290%;0,6544%;1,8825%;;;0
11;BCIA11;Títulos e Val. Mob.;10705.0;1918.0;R$ 0,7000;0,6474%;1,9882%;3,8838%;7,4512%;0,6627%;0,6473%;0,6209%;0,6474%;0,0000%;0,6474%;0,6474%;R$ 201.544.075,16;R$ 119,28;8974.0;0,5868%;3,2692%;3,8752%;6,7936%;;;0
12;BCRI11;Títulos e Val. Mob.;11100.0;3930.0;R$ 1,0000;0,8985%;2,9011%;5,6370%;9,6353%;0,9670%;0,9395%;0,8029%;0,8985%;0,0000%;0,8985%;0,8985%;R$ 121.996.758,36;R$ 100,82;11009.0;0,9422%;0,8354%;1,7855%;13,7502%;;;0
13;BMLC11B;Lajes Corporativas;7799.0;348.0;R$ 0,4306;0,5521%;1,6785%;3,0671%;5,7715%;0,5595%;0,5112%;0,4810%;0,5521%;0,0000%;0,5521%;0,5521%;R$ 93.080.522,97;R$ 93,23;8365.0;0,4761%;10,4381%;10,9638%;16,4260%;24,00%;;2
14;BNFS11;Outros;12050.0;91.0;R$ 0,7843;0,5897%;1,8749%;4,0475%;8,1341%;0,6250%;0,6746%;0,6778%;0,5897%;0,0000%;0,5897%;0,5897%;R$ 65.316.778,34;R$ 93,31;12914.0;0,8064%;4,2689%;5,1097%;16,4362%;;;18
15;BPFF11;Títulos e Val. Mob.;9518.0;2192.0;R$ 0,6000;0,6206%;1,9470%;3,9448%;7,9508%;0,6490%;0,6575%;0,6626%;0,6206%;0,0000%;0,6206%;0,6206%;R$ 187.305.948,32;R$ 93,65;10163.0;0,6407%;1,4711%;2,1212%;3,7232%;;;0
16;BRCR11;Híbrido;10375.0;21436.0;R$ 0,4100;0,3952%;1,0742%;2,1547%;4,2413%;0,3581%;0,3591%;0,3534%;4,2413%;-1,4720%;-1,0826%;2,8378%;R$ 2.421.011.681,31;R$ 125,93;8238.0;0,3256%;0,0079%;0,3335%;4,2738%;33,20%;28,90%;10
17;BTCR11;Títulos e Val. Mob.;9843.0;0.0;R$ 0,6970;0,7081%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,7081%;0,0000%;0,7081%;0,7081%;R$ 68.289.424,64;R$ 100,43;9801.0;0,5775%;-0,1069%;0,4700%;1,6694%;;;0
18;BZLI11;Títulos e Val. Mob.;1410.0;45473.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,6787%;0,6787%;1,1364%;R$ 374.820.453,08;R$ 12,20;11558.0;;;;;;;0
19;CARE11;Híbrido;167.0;58125.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 194.555.748,82;R$ 1,44;11567.0;;;;;;;0
20;CBOP11;Lajes Corporativas;7199.0;1296.0;R$ 0,4700;0,6439%;1,9329%;3,9734%;7,8212%;0,6443%;0,6622%;0,6518%;0,6439%;0,0000%;0,6439%;0,6439%;R$ 111.285.971,74;R$ 78,65;9154.0;0,5976%;10,0557%;10,7134%;18,8235%;7,00%;;1
21;CEOC11;Lajes Corporativas;8390.0;2548.0;R$ 0,5463;0,6512%;2,0425%;4,1301%;7,8441%;0,6808%;0,6883%;0,6537%;0,6512%;0,0000%;0,6512%;0,6512%;R$ 160.685.343,46;R$ 88,50;9480.0;0,6235%;5,9101%;6,5705%;18,2078%;0,00%;;1
22;CNES11;Lajes Corporativas;7550.0;0.0;R$ 0,1158;0,1484%;0,2991%;1,1609%;2,9196%;0,0997%;0,1935%;0,2433%;2,9196%;-0,5102%;-0,3625%;-20,0930%;R$ 277.435.808,81;R$ 94,07;8026.0;0,1231%;-0,0064%;0,1167%;-7,3297%;59,80%;;1
23;CPTS11B;Títulos e Val. Mob.;10200.0;3533.0;R$ 0,6500;0,6325%;2,5428%;4,8995%;9,5379%;0,8476%;0,8166%;0,7948%;0,6325%;0,0000%;0,6325%;0,6325%;R$ 152.072.030,44;R$ 96,38;10583.0;1,1932%;-1,1908%;-0,0119%;7,8711%;;;0
24;CTXT11;Lajes Corporativas;5968.0;625.0;R$ 0,0295;0,6766%;2,0230%;4,0477%;7,7277%;0,6743%;0,6746%;0,6440%;0,6766%;0,0000%;0,6766%;0,6766%;R$ 123.736.570,12;R$ 3,41;175176.0;0,8043%;0,0069%;0,8112%;8,7246%;8,90%;;1
25;CXCE11B;Outros;2.228;17.0;R$ 19,4182;0,8553%;2,5513%;5,2904%;9,8631%;0,8504%;0,8817%;0,8219%;0,8553%;0,0000%;0,8553%;0,8553%;R$ 158.258.677,87;R$ 2.309,74;9646.0;0,8189%;0,0208%;0,8399%;10,4277%;;;1
26;CXRI11;Híbrido;1.00025;63.0;R$ 7,0000;0,6617%;2,3338%;4,5327%;8,5377%;0,7779%;0,7555%;0,7115%;0,6617%;0,0000%;0,6617%;0,6617%;R$ 166.746.479,66;R$ 1.058,20;9452.0;0,9450%;1,7504%;2,7119%;5,2700%;;;0
27;CXTL11;Logística;48202.0;34.0;R$ 1,5423;0,3193%;0,4914%;0,6922%;1,7377%;0,1638%;0,1154%;0,1448%;0,3193%;0,0000%;0,3193%;0,3193%;R$ 50.737.569,81;R$ 946,65;5092.0;;;;;;;4
28;DOMC11;Lajes Corporativas;55000.0;63.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;4,3499%;4,3499%;-9,9982%;R$ 244.251.602,30;R$ 999,47;5503.0;;;;;23,44%;;1
29;DRIT11B;Lajes Corporativas;16100.0;13.0;R$ 0,6700;0,4161%;1,5105%;3,2467%;8,0757%;0,5035%;0,5411%;0,6730%;0,4161%;0,0000%;0,4161%;0,4161%;R$ 57.875.054,67;R$ 124,93;12888.0;0,6724%;0,0407%;0,7134%;8,9932%;7,60%;;4
30;EDFO11B;Lajes Corporativas;28995.0;81.0;R$ 1,7934;0,6293%;1,8800%;3,7928%;7,2746%;0,6267%;0,6321%;0,6062%;0,6293%;0,0000%;0,6293%;0,6293%;R$ 42.117.945,12;R$ 178,47;16247.0;0,9880%;0,0000%;0,9880%;12,2925%;6,96%;;1
31;EDGA11;Lajes Corporativas;4849.0;0.0;R$ 0,3940;0,8139%;2,2209%;3,5441%;4,9242%;0,7403%;0,5907%;0,4103%;4,9242%;7,8912%;8,7694%;4,8173%;R$ 326.110.397,19;R$ 85,55;5668.0;0,4605%;4,7154%;5,1976%;6,9924%;19,50%;;1
32;EURO11;Logística;16100.0;333.0;R$ 0,7400;0,4639%;1,3540%;3,0309%;6,3150%;0,4513%;0,5051%;0,5263%;0,4639%;0,0000%;0,4639%;0,4639%;R$ 122.642.167,94;R$ 319,43;5040.0;0,1972%;2,9067%;3,1097%;7,0425%;37,21%;;6
33;FAED11;Outros;22489.0;0.0;R$ 1,4318;0,6367%;2,0989%;4,3506%;8,6686%;0,6996%;0,7251%;0,7224%;0,6367%;0,0000%;0,6367%;0,6367%;R$ 100.314.868,42;R$ 156,21;14396.0;0,9989%;-2,8636%;-1,8933%;8,6329%;0,00%;;3
34;FAMB11B;Lajes Corporativas;2.208;93.0;R$ 25,5117;1,0630%;4,0539%;8,8800%;15,6421%;1,3513%;1,4800%;1,3035%;1,0630%;0,0000%;1,0630%;1,0630%;R$ 329.372.718,89;R$ 3.142,87;7025.0;1,0877%;-32,2855%;-31,5489%;-25,2713%;0,00%;;1
35;FCFL11;Outros;2.03;70.0;R$ 11,6842;0,5700%;1,7421%;3,5099%;6,6348%;0,5807%;0,5850%;0,5529%;6,6348%;4,0604%;4,6535%;-2,5268%;R$ 300.068.982,75;R$ 1.796,82;11298.0;0,6503%;14,4014%;15,1453%;39,2366%;0,00%;;1
36;FEXC11;Títulos e Val. Mob.;10485.0;0.0;R$ 0,4600;0,4387%;1,7861%;4,3158%;9,0785%;0,5954%;0,7193%;0,7565%;0,4387%;0,0000%;0,4387%;0,4387%;R$ 147.197.625,67;R$ 100,73;10409.0;0,6155%;0,0749%;0,6908%;10,4054%;;;0
37;FFCI11;Lajes Corporativas;16470.0;2336.0;R$ 0,5000;0,3036%;1,0223%;2,2958%;4,7007%;0,3408%;0,3826%;0,3917%;0,5995%;-2,5155%;-2,2196%;-1,9302%;R$ 373.219.680,36;R$ 171,99;9576.0;0,3663%;-0,0701%;0,2959%;1,6923%;11,64%;;8
38;FIGS11;Shoppings;5650.0;10306.0;R$ 0,8333;1,3889%;3,7631%;7,4179%;13,4989%;1,2544%;1,2363%;1,1249%;1,3889%;0,0000%;1,3889%;1,3889%;R$ 247.500.649,06;R$ 95,50;5916.0;0,8726%;1,9320%;2,8214%;19,3004%;11,61%;;2
39;FIIB11;Híbrido;43500.0;1286.0;R$ 2,6000;0,5977%;1,8634%;3,8717%;7,5748%;0,6211%;0,6453%;0,6312%;7,5748%;1,9930%;2,6026%;11,6949%;R$ 265.928.648,57;R$ 388,22;11205.0;0,6697%;-0,5207%;0,1456%;8,0464%;4,59%;;1
40;FIIP11B;Logística;18300.0;740.0;R$ 3,7743;1,9559%;3,1635%;5,1861%;9,0742%;1,0545%;0,8643%;0,7562%;1,9559%;0,0000%;1,9559%;1,9559%;R$ 176.970.718,11;R$ 190,87;9587.0;0,6551%;0,1741%;0,8304%;17,0764%;;;7
41;FIVN11;Shoppings;292.0;829.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 87.596.013,46;R$ 9,31;3138.0;;;;;56,00%;;1
42;FIXX11;Títulos e Val. Mob.;8488.0;330.0;R$ 0,4500;0,5423%;1,6619%;3,4301%;6,7850%;0,5540%;0,5717%;0,5654%;0,5423%;0,0000%;0,5423%;0,5423%;R$ 33.297.093,71;R$ 90,98;9329.0;0,5276%;1,6062%;2,1423%;4,3072%;;;0
43;FLMA11;Híbrido;292.0;39353.0;R$ 0,0133;0,4555%;1,5684%;3,2691%;6,2464%;0,5228%;0,5448%;0,5205%;0,4555%;0,0000%;0,4555%;0,4555%;R$ 192.917.205,42;R$ 2,79;10449.0;0,5189%;4,6273%;5,1702%;11,4851%;;;1
44;FLRP11;Shoppings;1.25;20.0;R$ 9,0517;0,7083%;1,7693%;3,2291%;7,0097%;0,5898%;0,5382%;0,5841%;7,0097%;2,1583%;2,8818%;17,1367%;R$ 81.563.821,65;R$ 1.464,58;8535.0;0,6180%;5,6543%;6,3072%;11,0186%;2,87%;;1
45;FMOF11;Lajes Corporativas;7997.0;208.0;R$ 1,0300;1,1771%;1,7659%;2,6369%;4,1101%;0,5886%;0,4395%;0,3425%;4,1101%;0,0114%;1,1887%;-21,4059%;R$ 67.779.264,99;R$ 133,42;5994.0;0,7720%;0,7466%;1,5244%;4,2688%;56,13%;;1
46;FOFT11;Títulos e Val. Mob.;9495.0;289.0;R$ 0,5300;0,5605%;2,1711%;4,0788%;7,6761%;0,7237%;0,6798%;0,6397%;0,5605%;0,0000%;0,5605%;0,5605%;R$ 111.319.514,00;R$ 93,07;10202.0;0,9025%;-89,6991%;-89,6062%;-89,6062%;;;0
47;FPAB11;Lajes Corporativas;36980.0;53.0;R$ 1,8000;0,4865%;1,5015%;5,2522%;8,3946%;0,5005%;0,8754%;0,6996%;0,4865%;0,0000%;0,4865%;0,4865%;R$ 279.321.907,73;R$ 372,43;9929.0;0,4565%;7,2411%;7,7307%;17,0523%;13,37%;;1
48;FVBI11;Lajes Corporativas;12759.0;0.0;R$ 0,4230;0,3347%;0,9933%;2,0713%;4,6522%;0,3311%;0,3452%;0,3877%;4,6522%;1,5020%;1,8417%;29,1470%;R$ 201.711.349,63;R$ 93,82;13600.0;0,4508%;-0,3349%;0,1144%;24,2929%;20,90%;;1
49;FVPQ11;Shoppings;19000.0;3677.0;R$ 1,6500;0,8549%;2,1399%;3,6010%;6,0414%;0,7133%;0,6002%;0,5034%;0,8549%;0,0000%;0,8549%;0,8549%;R$ 517.277.631,75;R$ 188,16;10098.0;0,7069%;0,2593%;0,9680%;11,2972%;5,27%;;1
50;GGRC11;Logística;12620.0;16584.0;R$ 0,8800;0,6685%;2,2967%;4,5525%;8,1688%;0,7656%;0,7587%;0,6807%;0,6685%;0,0000%;0,6685%;0,6685%;R$ 454.837.457,74;R$ 118,26;10672.0;0,9133%;-0,4078%;0,5017%;16,6671%;0,00%;;13
51;GRLV11;Logística;9737.0;1153.0;R$ 0,5500;0,5644%;1,9167%;4,1330%;7,6999%;0,6389%;0,6888%;0,6417%;0,5644%;0,0000%;0,5644%;0,5644%;R$ 117.975.874,08;R$ 109,90;8860.0;0,6097%;-6,9647%;-6,3975%;0,4118%;7,28%;;1
52;HBTT11;Outros;1.11;10.0;R$ 7,3700;0,6640%;1,2133%;0,0000%;0,0000%;0,4044%;0,0000%;0,0000%;0,6640%;0,0000%;0,6640%;0,6640%;R$ 129.853.938,14;R$ 1.156,05;9602.0;0,5320%;0,9516%;1,4886%;8,9225%;;;0
53;HCRI11;Hospital;31447.0;0.0;R$ 2,6002;0,8588%;2,2376%;4,4511%;8,4378%;0,7459%;0,7418%;0,7032%;8,4378%;-3,5827%;-2,7546%;0,6161%;R$ 64.459.843,42;R$ 322,30;9757.0;0,8068%;2,4815%;3,3083%;11,7560%;0,00%;;1
54;HFOF11;Títulos e Val. Mob.;9757.0;6257.0;R$ 0,7500;0,7696%;1,9588%;3,8119%;0,0000%;0,6529%;0,6353%;0,0000%;0,7696%;0,0000%;0,7696%;0,7696%;R$ 226.457.047,34;R$ 95,76;10189.0;0,5639%;2,7397%;3,3190%;-0,0586%;;;0
55;HGBS11;Shoppings;23100.0;8035.0;R$ 1,4000;0,5870%;1,8356%;3,5233%;6,7151%;0,6119%;0,5872%;0,5596%;0,5870%;0,0000%;0,5870%;0,5870%;R$ 1.190.971.600,16;R$ 221,58;10425.0;0,6860%;-0,1464%;0,5385%;3,1670%;6,88%;;8
56;HGCR11;Títulos e Val. Mob.;11900.0;7623.0;R$ 0,7400;0,6224%;2,1581%;4,2953%;8,7578%;0,7194%;0,7159%;0,7298%;0,6224%;0,0000%;0,6224%;0,6224%;R$ 271.603.633,47;R$ 104,60;11376.0;0,9273%;0,2502%;1,1798%;12,5298%;;;0
57;HGJH11;Lajes Corporativas;18350.0;1995.0;R$ 0,8000;0,4574%;1,3920%;2,9399%;5,7850%;0,4640%;0,4900%;0,4821%;0,4574%;0,0000%;0,4574%;0,4574%;R$ 247.033.742,10;R$ 149,72;12256.0;0,5343%;28,0462%;28,7304%;38,0599%;1,70%;;2
58;HGLG11;Logística;14605.0;10614.0;R$ 0,7500;0,5155%;1,5994%;3,3622%;7,0251%;0,5331%;0,5604%;0,5854%;0,5155%;0,0000%;0,5155%;0,5155%;R$ 952.284.745,57;R$ 120,83;12087.0;0,6207%;3,7348%;4,3787%;16,3801%;4,70%;7,30%;12
59;HGRE11;Lajes Corporativas;14440.0;10661.0;R$ 0,7400;0,5099%;1,5193%;3,2008%;6,6877%;0,5064%;0,5335%;0,5573%;0,5099%;0,0000%;0,5099%;0,5099%;R$ 1.121.119.881,06;R$ 151,85;9509.0;0,4873%;2,5369%;3,0365%;8,1759%;19,63%;18,96%;20
60;HGRU11;Híbrido;10700.0;1500.0;R$ 0,6800;0,6361%;2,0496%;4,0583%;0,0000%;0,6832%;0,6764%;0,0000%;0,6361%;0,0000%;0,6361%;0,6361%;R$ 153.864.561,29;R$ 102,58;10431.0;0,7604%;3,7546%;4,5436%;9,5972%;0,00%;0,00%;1
61;HMOC11;Shoppings;22000.0;2144.0;R$ 1,3500;0,6136%;1,6932%;3,0915%;6,7681%;0,5644%;0,5152%;0,5640%;0,6136%;0,0000%;0,6136%;0,6136%;R$ 68.823.716,86;R$ 180,16;12211.0;0,6106%;5,6621%;6,3072%;-7,7424%;4,60%;;2
62;HTMX11;Hotel;14985.0;0.0;R$ 1,0781;0,7191%;2,2959%;4,7203%;7,0111%;0,7653%;0,7867%;0,5843%;0,7191%;0,0000%;0,7191%;0,7191%;R$ 156.650.065,59;R$ 140,00;10704.0;0,9362%;4,6731%;5,6531%;11,2495%;25,00%;;24
63;HUSC11;Outros;12900.0;19.0;R$ 0,9000;0,8372%;0,8372%;0,8372%;0,8372%;0,2791%;0,1395%;0,0698%;0,8372%;7,5000%;8,4000%;8,4000%;R$ 72.173.218,87;R$ 99,99;12902.0;;;;;;;0
64;IRDM11;Títulos e Val. Mob.;11100.0;4731.0;R$ 0,8609;0,7827%;2,6404%;5,1233%;0,0000%;0,8801%;0,8539%;0,0000%;6,9621%;8,0656%;8,9114%;19,0423%;R$ 138.412.908,24;R$ 95,58;11613.0;0,9007%;-1,2876%;-0,3985%;7,7528%;;;0
65;JRDM11;Shoppings;7350.0;0.0;R$ 1,3947;1,8975%;3,1677%;4,9494%;7,6855%;1,0559%;0,8249%;0,6405%;7,6855%;4,2553%;6,2336%;-2,6443%;R$ 189.360.770,30;R$ 85,18;8629.0;1,6373%;0,2104%;1,8512%;7,7049%;1,10%;;1
66;JSRE11;Híbrido;10699.0;11794.0;R$ 0,5700;0,5530%;1,7009%;3,2192%;6,3056%;0,5670%;0,5365%;0,5255%;0,5530%;0,0000%;0,5530%;0,5530%;R$ 892.142.008,03;R$ 110,39;9692.0;0,5073%;1,1537%;1,6669%;6,8460%;2,00%;;2
67;KNCR11;Títulos e Val. Mob.;10455.0;25048.0;R$ 0,5600;0,5298%;1,5093%;3,2587%;6,6867%;0,5031%;0,5431%;0,5572%;0,5298%;0,0000%;0,5298%;0,5298%;R$ 3.531.703.072,82;R$ 104,46;10009.0;0,4882%;0,1506%;0,6396%;7,1480%;;;0
68;KNHY11;Títulos e Val. Mob.;10940.0;1349.0;R$ 0,4900;0,4455%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,4455%;0,0000%;0,4455%;0,4455%;R$ 411.736.153,80;R$ 102,93;10628.0;0,3497%;0,9101%;1,2630%;1,4412%;;;0
69;KNIP11;Títulos e Val. Mob.;10885.0;14534.0;R$ 0,4600;0,4121%;1,6837%;3,7706%;7,7009%;0,5612%;0,6284%;0,6417%;0,4121%;0,0000%;0,4121%;0,4121%;R$ 1.832.899.795,84;R$ 105,03;10364.0;0,5237%;1,3999%;1,9309%;10,5816%;;;0
70;KNRE11;Residencial;998.0;6577.0;R$ 0,1348;1,4264%;2,0824%;2,6762%;11,0295%;0,6941%;0,4460%;0,9191%;11,0295%;2,7174%;4,1825%;-6,5895%;R$ 131.433.387,35;R$ 7,09;14083.0;1,9021%;-1,9163%;-0,0506%;647,2706%;;;0
71;KNRI11;Híbrido;15300.0;15812.0;R$ 0,7400;0,4927%;1,4859%;3,2113%;6,3773%;0,4953%;0,5352%;0,5314%;0,4927%;0,0000%;0,4927%;0,4927%;R$ 2.235.726.955,59;R$ 144,02;10624.0;0,5138%;0,0124%;0,5263%;7,5812%;8,20%;11,15%;16
72;LVBI11;Logística;10500.0;1128.0;R$ 0,5230;0,4981%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,7362%;0,0000%;0,4981%;5,7743%;R$ 296.011.353,61;R$ 97,69;10748.0;;;;;;;0
73;MALL11;Shoppings;10730.0;7702.0;R$ 0,7400;0,6913%;1,9137%;3,7872%;7,3524%;0,6379%;0,6312%;0,6127%;0,6913%;0,0000%;0,6913%;0,6913%;R$ 215.149.500,75;R$ 115,66;9277.0;0,5533%;20,6589%;21,3266%;29,5703%;0,00%;;1
74;MAXR11;Outros;2.1;0.0;R$ 49,9584;2,3790%;3,4665%;4,6839%;8,6421%;1,1555%;0,7807%;0,7202%;8,6421%;16,6595%;19,4348%;14,2992%;R$ 97.002.224,82;R$ 1.637,31;12826.0;3,0513%;-12,3145%;-9,6390%;-2,0845%;0,00%;;8
75;MBRF11;Outros;1.124;94.0;R$ 8,0000;0,7117%;2,1925%;4,5305%;9,1244%;0,7308%;0,7551%;0,7604%;0,7117%;0,0000%;0,7117%;0,7117%;R$ 119.800.958,18;R$ 1.178,40;9538.0;0,6789%;0,0139%;0,6929%;12,1602%;0,00%;;2
76;MFII11;Híbrido;9999.0;4907.0;R$ 1,1600;1,1600%;3,5221%;4,8793%;9,6321%;1,1740%;0,8132%;0,8027%;1,1600%;0,0000%;1,1600%;1,1600%;R$ 203.821.146,40;R$ 101,78;9824.0;1,1103%;3,2527%;4,3991%;3,1241%;;;9
77;MGFF11;Títulos e Val. Mob.;9390.0;0.0;R$ 0,7000;0,7455%;2,2517%;4,1712%;0,0000%;0,7506%;0,6952%;0,0000%;0,7455%;0,0000%;0,7455%;0,7455%;R$ 116.458.534,02;R$ 96,57;9723.0;0,7248%;1,9981%;2,7374%;5,4863%;;;0
78;MXRF11;Híbrido;1073.0;75606.0;R$ 0,0600;0,5333%;1,7087%;3,7047%;8,2150%;0,5696%;0,6175%;0,6846%;0,5333%;0,0000%;0,5333%;0,5333%;R$ 303.926.356,05;R$ 9,65;11115.0;0,6215%;0,0997%;0,7219%;11,7865%;;;0
79;NSLU11;Hospital;22540.0;0.0;R$ 1,7105;0,7555%;2,1631%;4,2663%;8,1096%;0,7210%;0,7111%;0,6758%;8,1096%;1,7528%;2,5216%;-7,1959%;R$ 207.208.751,88;R$ 181,00;12453.0;0,9450%;-12,2877%;-11,4588%;-3,6518%;0,00%;;1
80;NVHO11;Hospital;2898.0;183.0;R$ 0,0576;0,1922%;0,6032%;1,0973%;4,9419%;0,2011%;0,1829%;0,4118%;0,1922%;0,0000%;0,1922%;0,1922%;R$ 297.533.702,35;R$ 7,17;40416.0;0,9586%;2,4589%;3,4411%;42,8818%;;;1
81;NVIF11B;Outros;;;R$ 0,8892;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 46.469.770,93;R$ 137,73;;0,6456%;6,4370%;7,1241%;-99,9586%;;;0
82;ONEF11;Lajes Corporativas;14287.0;458.0;R$ 0,7200;0,5040%;1,5453%;3,1662%;6,3672%;0,5151%;0,5277%;0,5306%;0,5040%;0,0000%;0,5040%;0,5040%;R$ 101.570.589,76;R$ 111,49;12814.0;0,6458%;0,0165%;0,6624%;10,3319%;0,00%;;1
83;OUCY11;Títulos e Val. Mob.;9050.0;716.0;R$ 0,5894;0,6372%;2,0426%;3,5108%;0,0000%;0,6809%;0,5851%;0,0000%;4,3439%;7,5706%;8,2560%;-3,4053%;R$ 52.169.665,75;R$ 97,71;9262.0;0,6032%;1,0704%;1,6800%;6,4675%;;;0
84;OUJP11;Títulos e Val. Mob.;10688.0;1507.0;R$ 2,4115;2,2556%;3,4705%;5,3642%;9,0466%;1,1568%;0,8940%;0,7539%;2,2556%;0,0000%;2,2556%;2,2556%;R$ 74.302.023,51;R$ 103,20;10357.0;;;;;;;0
85;PABY11;Híbrido;2220.0;58.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-19,8397%;-19,8397%;-31,6239%;R$ 186.691.068,73;R$ 246,16;902.0;;;;;;;1
86;PLRI11;Títulos e Val. Mob.;6630.0;256.0;R$ 0,2726;0,3809%;1,1510%;3,8137%;7,9910%;0,3837%;0,6356%;0,6659%;0,3809%;0,0000%;0,3809%;0,3809%;R$ 76.677.652,79;R$ 80,35;8251.0;0,3465%;-1,0210%;-0,6779%;-10,6135%;;;0
