;Ativo;Setor;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
84;MAXR11;Outros;1.95899;0.0;R$ 9,3238;0,4685%;1,2478%;4,4794%;8,4191%;0,4159%;0,7466%;0,7016%;1,2478%;-2,8795%;-2,4244%;0,6461%;R$ 109.713.521,1800;R$ 1.851,8613;10578;;;;;0,0000%;;8
85;JRDM11;Shoppings;7825.0;0.0;R$ 0,3192;0,4051%;1,1755%;2,9825%;5,9404%;0,3918%;0,4971%;0,4950%;1,1755%;-3,9024%;-3,5131%;-2,1719%;R$ 188.775.062,6800;R$ 84,9168;9215;;;;;0,9600%;;1
86;ALMI11;Lajes Corporativas;1.605;0.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-7,2053%;-7,2053%;-3,4530%;R$ 212.543.250,0200;R$ 2.030,0215;7906;0,0000%;0,0982%;0,0982%;0,0721%;82,0000%;;1
87;TRNT11;Lajes Corporativas;16800.0;0.0;R$ 0,3808;0,2081%;0,6173%;1,2931%;3,0851%;0,2058%;0,2155%;0,2571%;0,8134%;0,5495%;0,7587%;3,6420%;R$ 734.495.068,3100;R$ 186,6303;9002;0,2040%;0,1440%;0,3483%;1,2805%;28,1000%;;1
88;FVBI11;Lajes Corporativas;10110.0;0.0;R$ 0,4250;0,4163%;1,1361%;2,2368%;4,5221%;0,3787%;0,3728%;0,3768%;1,5316%;-5,8726%;-5,4808%;1,1441%;R$ 202.001.060,0200;R$ 93,9540;10761;0,4524%;0,0478%;0,5004%;20,1318%;12,4000%;;1
89;FCFL11;Outros;1.91;80.0;R$ 10,8245;0,5280%;1,4897%;2,9134%;6,2008%;0,4966%;0,4856%;0,5167%;1,9664%;-7,4488%;-6,9601%;-6,9595%;R$ 261.754.552,9900;R$ 1.567,3925;12186;0,6906%;0,0390%;0,7299%;3,8857%;0,0000%;;1
90;THRA11;Lajes Corporativas;11010.0;1344.0;R$ 0,4058;0,3498%;1,0718%;2,2365%;4,7477%;0,3573%;0,3727%;0,3956%;1,4431%;-0,2151%;0,1340%;4,1443%;R$ 134.654.038,5500;R$ 91,4317;12042;0,4438%;0,0517%;0,4958%;8,8909%;0,0000%;;1
91;CEOC11;Lajes Corporativas;8770.0;1267.0;R$ 0,5245;0,5860%;1,8299%;3,6421%;4,3628%;0,6100%;0,6070%;0,3636%;2,4183%;-0,2563%;0,3282%;1,8711%;R$ 150.467.093,2700;R$ 82,8702;10583;0,6329%;-0,0366%;0,5961%;5,1206%;0,0000%;;1
92;GGRC11;Logística;13000.0;22864.0;R$ 0,8400;0,6510%;1,8257%;3,5711%;7,3483%;0,6086%;0,5952%;0,6124%;2,9260%;-3,3193%;-2,6899%;0,1129%;R$ 436.260.390,0000;R$ 113,4255;11461;0,7053%;-0,9245%;-0,2257%;5,3191%;0,0000%;0,0000%;7
93;OUJP11;;10155.0;1030.0;R$ 0,6042;0,5923%;1,8600%;3,9036%;9,3089%;0,6200%;0,6506%;0,7757%;3,1988%;-3,6554%;-3,0848%;-0,8430%;R$ 73.224.361,4800;R$ 101,7005;9985;0,6555%;0,2258%;0,8828%;3,0051%;;;0
94;HCRI11;Hospital;34199.0;0.0;R$ 2,2572;0,6288%;1,9108%;3,8924%;8,2075%;0,6369%;0,6487%;0,6840%;2,6121%;-2,4457%;-1,8323%;12,5755%;R$ 62.916.895,4400;R$ 314,5845;10871;0,7175%;0,0132%;0,7308%;2,9418%;0,0000%;;1
95;RBRF11;Títulos e Val. Mob.;10098.0;3465.0;R$ 0,8000;0,7692%;2,2393%;3,6559%;0,0000%;0,7464%;0,6093%;0,0000%;2,9129%;4,0000%;4,8000%;10,9457%;R$ 80.919.484,6500;R$ 99,9016;10108;0,8008%;-2,0830%;-1,2989%;3,7747%;;;0
96;VISC11;Shoppings;10300.0;22028.0;R$ 0,6100;0,5857%;1,6924%;3,3804%;0,0000%;0,5641%;0,5634%;0,0000%;2,7940%;-7,9947%;-7,4558%;-2,6608%;R$ 813.446.236,5200;R$ 99,6897;10332;0,6119%;1,8495%;2,4727%;3,8160%;5,1000%;;7
97;XPML11;Shoppings;10010.0;0.0;R$ 0,5269;0,5219%;1,4943%;0,0000%;0,0000%;0,4981%;0,0000%;0,0000%;1,9853%;-0,5713%;-0,0523%;-1,3422%;R$ 244.970.845,6500;R$ 96,2866;10396;0,5472%;-0,3766%;0,1686%;2,6052%;3,8000%;;3
98;BCFF11;Títulos e Val. Mob.;8180.0;0.0;R$ 0,5100;0,5792%;1,7212%;3,5923%;7,7669%;0,5737%;0,5987%;0,6472%;2,3249%;-2,0687%;-1,5015%;9,8963%;R$ 533.613.522,1000;R$ 89,6926;9120;0,5686%;-0,6934%;-0,1287%;2,2880%;;;0
99;MALL11;Shoppings;10190.0;0.0;R$ 0,6200;0,6194%;1,8411%;0,0000%;0,0000%;0,6137%;0,0000%;0,0000%;2,7926%;-5,5839%;-4,9991%;2,9266%;R$ 179.214.416,8300;R$ 96,3449;10577;0,6331%;-0,0582%;0,5746%;2,5809%;0,1000%;;1
100;UBSR11;Títulos e Val. Mob.;10000.0;551.0;R$ 0,5988;0,5813%;1,5020%;0,0000%;0,0000%;0,5007%;0,0000%;0,0000%;1,5020%;-0,9615%;-0,3858%;-2,6311%;R$ 29.977.759,4100;R$ 96,4262;10371;0,6210%;-1,0367%;-0,4222%;2,1658%;;;0
101;BZLI11;Títulos e Val. Mob.;1355.0;0.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,6787%;0,6787%;1,1364%;R$ 244.104.992,6700;R$ 12,4428;10890;;;;;;;0
102;ALZR11;Outros;9841.0;0.0;R$ 0,6421;0,6462%;1,9100%;0,0000%;0,0000%;0,6367%;0,0000%;0,0000%;2,2500%;-3,2239%;-2,5985%;-1,8411%;R$ 95.102.501,0000;R$ 95,3846;10317;0,6732%;-0,0098%;0,6633%;2,3343%;0,0000%;;2
103;MGFF11;Títulos e Val. Mob.;9430.0;0.0;R$ 0,3221;0,3288%;0,3288%;0,3288%;0,3288%;0,1096%;0,0548%;0,0274%;0,3288%;-2,0300%;-1,7079%;-1,7079%;R$ 116.561.603,5200;R$ 96,6573;9756;0,3332%;0,7815%;1,1174%;1,1174%;;;0
104;IRDM11;Títulos e Val. Mob.;9641.0;0.0;R$ 0,3532;0,3532%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,7135%;0,9693%;1,3260%;1,6910%;R$ 103.565.305,4000;R$ 95,8938;10054;0,3684%;0,5734%;0,9439%;1,3216%;;;0
105;HFOF11;Títulos e Val. Mob.;9545.0;3136.0;R$ 0,8500;0,8854%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;1,4410%;-3,0303%;-2,1717%;-2,6119%;R$ 218.749.151,4600;R$ 99,0502;9637;0,5553%;-1,2118%;-0,6633%;-0,6633%;;;0
