;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
145;RVBI11;Títulos e Val. Mob.;R$ 89,21;12755.0;R$ 0,58;0,66%;1,86%;0,00%;0,00%;0,62%;0,00%;0,00%;2,96%;11,81%;12,55%;-8,85%;R$ 136.759.674,22;R$ 94,97;94.0;0,61%;0,32%;0,94%;1,28%;;;0
146;SADI11;Títulos e Val. Mob.;R$ 87,24;27255.0;R$ 0,21;0,25%;0,90%;2,04%;4,02%;0,30%;0,34%;0,33%;2,73%;12,69%;12,98%;-13,49%;R$ 319.346.599,84;R$ 100,42;87.0;0,21%;0,04%;0,25%;2,35%;;;0
147;SARE11;Híbrido;R$ 100,99;7981.0;R$ 0,25;0,25%;0,84%;1,77%;0,00%;0,28%;0,29%;0,00%;2,21%;6,22%;6,48%;-3,48%;R$ 360.388.196,02;R$ 100,11;101.0;0,25%;-0,07%;0,18%;1,79%;0,00%;;2
148;SCPF11;Shoppings;R$ 9,00;3139.0;R$ 0,02;0,26%;1,07%;2,78%;6,14%;0,36%;0,46%;0,51%;1,86%;-1,32%;-1,06%;-32,01%;R$ 48.264.309,39;R$ 11,49;78.0;;;;;26,10%;;1
149;SDIL11;Logística;R$ 101,74;4615.0;R$ 0,55;0,54%;1,42%;2,82%;5,60%;0,47%;0,47%;0,47%;3,73%;-2,43%;-1,91%;-10,53%;R$ 456.662.307,22;R$ 95,73;106.0;0,57%;0,29%;0,86%;4,61%;4,10%;;3
150;SHPH11;Shoppings;R$ 897,00;27.0;R$ 1,85;0,20%;0,71%;0,71%;3,15%;0,24%;0,12%;0,26%;1,63%;-1,14%;-0,94%;-7,74%;R$ 478.128.756,13;R$ 785,17;114.0;0,25%;-0,03%;0,22%;0,70%;8,40%;;1
151;SPTW11;Lajes Corporativas;R$ 89,97;5661.0;R$ 0,75;0,90%;2,97%;5,25%;10,32%;0,99%;0,88%;0,86%;6,96%;13,16%;14,18%;1,63%;R$ 136.362.826,67;R$ 75,84;119.0;0,99%;-0,27%;0,71%;4,21%;0,00%;;1
152;TEPP11;Lajes Corporativas;R$ 93,00;1377.0;R$ 0,50;0,54%;1,65%;3,32%;0,00%;0,55%;0,55%;0,00%;4,39%;3,57%;4,12%;-9,84%;R$ 348.774.772,88;R$ 96,43;96.0;0,52%;-0,04%;0,48%;4,07%;11,00%;;3
153;TGAR11;Outros;R$ 130,61;30541.0;R$ 1,09;0,81%;2,61%;5,20%;9,11%;0,87%;0,87%;0,76%;6,13%;4,41%;5,26%;2,66%;R$ 439.266.497,25;R$ 126,75;103.0;0,86%;-0,38%;0,48%;0,66%;;;0
154;THRA11;Lajes Corporativas;R$ 132,04;122.0;R$ 0,36;0,26%;1,14%;2,50%;5,07%;0,38%;0,42%;0,42%;3,35%;-1,45%;-1,19%;-5,93%;R$ 174.478.647,08;R$ 118,47;111.0;0,30%;-0,03%;0,27%;3,16%;9,81%;;1
